Plot.ID,PlotID.focalsp,PlotID.focalsp.comp.combo,Competition,Block ,Plot.letter,Treatment,Focal.sp,Nearest.neighbour.sp,Neighbour.ID,Notes,Exclude.from.analysis,Neighbour.density,Neighbour.exotic,Exotic.density
10H,10H.H.glutinosum,10H.H.glutinosum.Highcomp,Highcomp,10,H,Shade,H.glutinosum,H.glutinosum,H.glutinosum,,0,1,0,0
10H,10H.P.airoides,10H.P.airoides.Highcomp,Highcomp,10,H,Shade,P.airoides,H.glutinosum,H.glutinosum,,0,1,0,0
10I,10I.H.glabra,10I.H.glabra.Highcomp,Highcomp,10,I,Open,H.glabra,Not.focal.species,B.semibarbata,,0,1,0,0
10I,10I.H.glabra,10I.H.glabra.Highcomp,Highcomp,10,I,Open,H.glabra,Not.focal.species,G.berardiana,,0,1,0,0
10I,10I.M.minima,10I.M.minima.Highcomp,Highcomp,10,I,Open,M.minima,T.cyanopetala,T.cyanopetala,,0,2,0,0
10I,10I.P.airoides,10I.P.airoides.Highcomp,Highcomp,10,I,Open,P.airoides,Not.focal.species,B.semibarbata,,0,1,0,0
10I,10I.P.airoides,10I.P.airoides.Highcomp,Highcomp,10,I,Open,P.airoides,Not.focal.species,C.eremea,,0,1,0,0
10I,10I.P.airoides,10I.P.airoides.Highcomp,Highcomp,10,I,Open,P.airoides,Not.focal.species,H.glabra,,0,1,1,1
10J,10J.H.glutinosum,10J.H.glutinosum.Highcomp,Highcomp,10,J,Open,H.glutinosum,H.glutinosum,H.glutinosum,,0,2,0,0
10J,10J.H.glutinosum,10J.H.glutinosum.Highcomp,Highcomp,10,J,Open,H.glutinosum,H.glutinosum,P.lessonni,,0,1,0,0
10J,10J.H.glutinosum,10J.H.glutinosum.Highcomp,Highcomp,10,J,Open,H.glutinosum,H.glutinosum,P.muelleriana,,0,5,0,0
10K,10K.A.calendula,10K.A.calendula.Highcomp,Highcomp,10,K,Open,A.calendula,M.minima,M.minima,,0,1,1,1
10K,10K.A.calendula,10K.A.calendula.Highcomp,Highcomp,10,K,Open,A.calendula,M.minima,M.polymorpha,,0,1,1,1
10K,10K.M.minima,10K.M.minima.Highcomp,Highcomp,10,K,Open,M.minima,M.minima,M.minima,,0,3,1,3
10L,10L.P.canescens,10L.P.canescens.Highcomp,Highcomp,10,L,Open,P.canescens,Not.focal.species,NA,,0,0,NA,NA
12A,12A.H.glutinosum,12A.H.glutinosum.Highcomp,Highcomp,12,A,Shade,H.glutinosum,H.glutinosum,H.glutinosum,,0,6,0,0
12A,12A.H.glutinosum,12A.H.glutinosum.Highcomp,Highcomp,12,A,Shade,H.glutinosum,H.glutinosum,P.lessonni,,0,1,0,0
12A,12A.P.airoides,12A.P.airoides.Highcomp,Highcomp,12,A,Shade,P.airoides,H.glutinosum,Cheilanthes.sp,,0,3,0,0
12A,12A.P.airoides,12A.P.airoides.Highcomp,Highcomp,12,A,Shade,P.airoides,H.glutinosum,H.glutinosum,,0,4,0,0
12A,12A.P.canescens,12A.P.canescens.Highcomp,Highcomp,12,A,Shade,P.canescens,H.glutinosum,Cheilanthes.sp,,0,2,0,0
12A,12A.P.canescens,12A.P.canescens.Highcomp,Highcomp,12,A,Shade,P.canescens,H.glutinosum,H.glutinosum,,0,3,0,0
12A,12A.T.cyanopetala,12A.T.cyanopetala.Highcomp,Highcomp,12,A,Shade,T.cyanopetala,Not.focal.species,P.airoides,,0,1,1,1
12A,12A.T.cyanopetala,12A.T.cyanopetala.Highcomp,Highcomp,12,A,Shade,T.cyanopetala,Not.focal.species,P.lessonni,,0,1,0,0
12B,12B.H.glabra,12B.H.glabra.Highcomp,Highcomp,12,B,Open,H.glabra,T.cyanopetala,T.cyanopetala,,0,2,0,0
12B,12B.P.canescens,12B.P.canescens.Highcomp,Highcomp,12,B,Open,P.canescens,Not.focal.species,P.debilis,,0,1,0,0
12B,12B.V.rosea,12B.V.rosea.Highcomp,Highcomp,12,B,Open,V.rosea,V.rosea,V.rosea,,0,2,0,0
12C,12C.A.calendula,12C.A.calendula.Highcomp,Highcomp,12,C,Shade,A.calendula,Not.focal.species,H.glutinosum,,0,1,0,0
12C,12C.A.calendula,12C.A.calendula.Highcomp,Highcomp,12,C,Shade,A.calendula,Not.focal.species,P.lessonni,,0,1,0,0
12C,12C.P.airoides,12C.P.airoides.Highcomp,Highcomp,12,C,Shade,P.airoides,Not.focal.species,C.pseudevax,,0,5,0,0
12C,12C.P.canescens,12C.P.canescens.Highcomp,Highcomp,12,C,Shade,P.canescens,P.airoides,P.airoides,,0,1,1,1
12C,12C.V.rosea,12C.V.rosea.Highcomp,Highcomp,12,C,Shade,V.rosea,Not.focal.species,P.muelleriana,,0,1,0,0
12D,12D.A.calendula,12D.A.calendula.Highcomp,Highcomp,12,D,Open,A.calendula,Not.focal.species,Erodium.cygnorum,,0,1,0,0
12D,12D.A.calendula,12D.A.calendula.Highcomp,Highcomp,12,D,Open,A.calendula,Not.focal.species,P.debilis,,0,1,0,0
12D,12D.H.glutinosum,12D.H.glutinosum.Highcomp,Highcomp,12,D,Open,H.glutinosum,Not.focal.species,Cheilanthes.sp,,0,1,0,0
12D,12D.H.glutinosum,12D.H.glutinosum.Highcomp,Highcomp,12,D,Open,H.glutinosum,Not.focal.species,P.airoides,,0,1,1,1
12D,12D.H.glutinosum,12D.H.glutinosum.Highcomp,Highcomp,12,D,Open,H.glutinosum,Not.focal.species,P.debilis,,0,2,0,0
12D,12D.H.glutinosum,12D.H.glutinosum.Highcomp,Highcomp,12,D,Open,H.glutinosum,Not.focal.species,P.lessonni,,0,1,0,0
12D,12D.H.glutinosum,12D.H.glutinosum.Highcomp,Highcomp,12,D,Open,H.glutinosum,Not.focal.species,P.muelleriana,,0,1,0,0
12D,12D.H.glutinosum,12D.H.glutinosum.Highcomp,Highcomp,12,D,Open,H.glutinosum,Not.focal.species,V.rosea,,0,1,0,0
12D,12D.P.airoides,12D.P.airoides.Highcomp,Highcomp,12,D,Open,P.airoides,Not.focal.species,P.airoides,,0,1,1,1
12D,12D.P.airoides,12D.P.airoides.Highcomp,Highcomp,12,D,Open,P.airoides,Not.focal.species,P.debilis,,0,1,0,0
12D,12D.V.rosea,12D.V.rosea.Highcomp,Highcomp,12,D,Open,V.rosea,Not.focal.species,NA,,0,0,NA,NA
12E,12E.H.glutinosum,12E.H.glutinosum.Highcomp,Highcomp,12,E,Shade,H.glutinosum,Not.focal.species,P.debilis,,0,2,0,0
12E,12E.M.minima,12E.M.minima.Highcomp,Highcomp,12,E,Shade,M.minima,Not.focal.species,P.debilis,M.polymorpha,1,2,0,0
12E,12E.P.canescens,12E.P.canescens.Highcomp,Highcomp,12,E,Shade,P.canescens,Not.focal.species,M.polymorpha,,0,1,1,1
12F,12F.H.glutinosum,12F.H.glutinosum.Highcomp,Highcomp,12,F,Open,H.glutinosum,M.minima,Erodium.cygnorum,,0,1,0,0
12F,12F.H.glutinosum,12F.H.glutinosum.Highcomp,Highcomp,12,F,Open,H.glutinosum,M.minima,H.glutinosum,,0,1,0,0
12F,12F.H.glutinosum,12F.H.glutinosum.Highcomp,Highcomp,12,F,Open,H.glutinosum,M.minima,P.airoides,,0,1,1,1
12F,12F.H.glutinosum,12F.H.glutinosum.Highcomp,Highcomp,12,F,Open,H.glutinosum,M.minima,P.lessonni,,0,1,0,0
12F,12F.M.minima,12F.M.minima.Highcomp,Highcomp,12,F,Open,M.minima,P.airoides,NA,,0,NA,NA,NA
12F,12F.P.airoides,12F.P.airoides.Highcomp,Highcomp,12,F,Open,P.airoides,P.airoides,NA,,0,NA,NA,NA
12F,12F.P.canescens,12F.P.canescens.Highcomp,Highcomp,12,F,Open,P.canescens,H.glutinosum,H.glutinosum,,0,2,0,0
12F,12F.P.canescens,12F.P.canescens.Highcomp,Highcomp,12,F,Open,P.canescens,H.glutinosum,S.cassiniana,,0,1,0,0
12G,12G.H.glutinosum,12G.H.glutinosum.Highcomp,Highcomp,12,G,Open,H.glutinosum,H.glutinosum,H.glutinosum,,0,3,0,0
12G,12G.P.canescens,12G.P.canescens.Highcomp,Highcomp,12,G,Open,P.canescens,Not.focal.species,V.rosea,,0,1,0,0
12G,12G.T.cyanopetala,12G.T.cyanopetala.Highcomp,Highcomp,12,G,Open,T.cyanopetala,Not.focal.species,T.cyanopetala,,0,1,0,0
12G,12G.V.rosea,12G.V.rosea.Highcomp,Highcomp,12,G,Open,V.rosea,Not.focal.species,P.debilis,,0,4,0,0
12H,12H.H.glabra,12H.H.glabra.Highcomp,Highcomp,12,H,Open,H.glabra,Not.focal.species,C.eremea,,0,6,0,0
12H,12H.H.glabra,12H.H.glabra.Highcomp,Highcomp,12,H,Open,H.glabra,Not.focal.species,P.airoides,,0,1,1,1
12H,12H.H.glabra,12H.H.glabra.Highcomp,Highcomp,12,H,Open,H.glabra,Not.focal.species,W.acuminata,,0,1,0,0
12H,12H.H.glutinosum,12H.H.glutinosum.Highcomp,Highcomp,12,H,Open,H.glutinosum,Not.focal.species,NA,,0,NA,NA,NA
12H,12H.V.rosea,12H.V.rosea.Highcomp,Highcomp,12,H,Open,V.rosea,V.rosea,V.rosea,,0,2,0,0
12H,12H.V.rosea,12H.V.rosea.Highcomp,Highcomp,12,H,Open,V.rosea,V.rosea,W.acuminata,,0,1,0,0
12I,12I.A.calendula,12I.A.calendula.Highcomp,Highcomp,12,I,Shade,A.calendula,T.cyanopetala,P.gaudichaudii,,0,1,0,0
12I,12I.A.calendula,12I.A.calendula.Highcomp,Highcomp,12,I,Shade,A.calendula,T.cyanopetala,T.cyanopetala,,0,1,0,0
12I,12I.M.minima,12I.M.minima.Highcomp,Highcomp,12,I,Shade,M.minima,Not.focal.species,C.hispidula,M.polymorpha,1,1,0,0
12I,12I.M.minima,12I.M.minima.Highcomp,Highcomp,12,I,Shade,M.minima,Not.focal.species,P.gaudichaudii,M.polymorpha,1,1,0,0
12I,12I.P.airoides,12I.P.airoides.Highcomp,Highcomp,12,I,Shade,P.airoides,Not.focal.species,N.rotundifolia,,0,1,0,0
12I,12I.P.airoides,12I.P.airoides.Highcomp,Highcomp,12,I,Shade,P.airoides,Not.focal.species,P.lessonni,,0,1,0,0
12J,12J.H.glabra,12J.H.glabra.Highcomp,Highcomp,12,J,Open,H.glabra,Not.focal.species,P.debilis,,0,1,0,0
12J,12J.M.minima,12J.M.minima.Highcomp,Highcomp,12,J,Open,M.minima,Not.focal.species,P.debilis,,0,2,0,0
12K,12K.A.calendula,12K.A.calendula.Highcomp,Highcomp,12,K,Shade,A.calendula,T.cyanopetala,T.cyanopetala,,0,1,0,0
12K,12K.M.minima,12K.M.minima.Highcomp,Highcomp,12,K,Shade,M.minima,Not.focal.species,P.debilis,,0,2,0,0
12K,12K.M.minima,12K.M.minima.Highcomp,Highcomp,12,K,Shade,M.minima,Not.focal.species,P.gaudichaudii,,0,2,0,0
12K,12K.T.cyanopetala,12K.T.cyanopetala.Highcomp,Highcomp,12,K,Shade,T.cyanopetala,T.cyanopetala,P.gaudichaudii,,0,2,0,0
12K,12K.T.cyanopetala,12K.T.cyanopetala.Highcomp,Highcomp,12,K,Shade,T.cyanopetala,T.cyanopetala,S.cassiniana,,0,1,0,0
12K,12K.T.cyanopetala,12K.T.cyanopetala.Highcomp,Highcomp,12,K,Shade,T.cyanopetala,T.cyanopetala,T.cyanopetala,,0,1,0,0
12K,12K.T.cyanopetala,12K.T.cyanopetala.Highcomp,Highcomp,12,K,Shade,T.cyanopetala,T.cyanopetala,W.acuminata,,0,1,0,0
12K,12K.V.rosea,12K.V.rosea.Highcomp,Highcomp,12,K,Shade,V.rosea,Not.focal.species,NA,,0,0,NA,NA
12L,12L.A.calendula,12L.A.calendula.Highcomp,Highcomp,12,L,Open,A.calendula,Not.focal.species,M.polymorpha,,1,1,1,1
12L,12L.M.minima,12L.M.minima.Highcomp,Highcomp,12,L,Open,M.minima,Not.focal.species,A.calendula,,0,1,1,1
12L,12L.M.minima,12L.M.minima.Highcomp,Highcomp,12,L,Open,M.minima,Not.focal.species,M.polymorpha,,0,1,1,1
12L,12L.V.rosea,12L.V.rosea.Highcomp,Highcomp,12,L,Open,V.rosea,Not.focal.species,M.polymorpha,,0,1,1,1
12M,12M.A.calendula,12M.A.calendula.Highcomp,Highcomp,12,M,Shade,A.calendula,Not.focal.species,NA,,0,0,NA,NA
12M,12M.P.airoides,12M.P.airoides.Highcomp,Highcomp,12,M,Shade,P.airoides,Not.focal.species,C.eremea,,0,1,0,0
12M,12M.P.airoides,12M.P.airoides.Highcomp,Highcomp,12,M,Shade,P.airoides,Not.focal.species,C.pseudevax,,0,1,0,0
12M,12M.P.airoides,12M.P.airoides.Highcomp,Highcomp,12,M,Shade,P.airoides,Not.focal.species,P.debilis,,0,1,0,0
12N,12N.T.cyanopetala,12N.T.cyanopetala.Highcomp,Highcomp,12,N,Open,T.cyanopetala,Not.focal.species,C.colorata,,0,2,0,0
12N,12N.T.cyanopetala,12N.T.cyanopetala.Highcomp,Highcomp,12,N,Open,T.cyanopetala,Not.focal.species,P.airoides,,0,1,1,1
12N,12N.T.cyanopetala,12N.T.cyanopetala.Highcomp,Highcomp,12,N,Open,T.cyanopetala,Not.focal.species,P.lessonni,,0,2,0,0
12O,12O.H.glabra,12O.H.glabra.Highcomp,Highcomp,12,O,Shade,H.glabra,Not.focal.species,C.colorata,,0,2,0,0
12O,12O.H.glabra,12O.H.glabra.Highcomp,Highcomp,12,O,Shade,H.glabra,Not.focal.species,Erodium.cygnorum,,0,1,0,0
12O,12O.H.glabra,12O.H.glabra.Highcomp,Highcomp,12,O,Shade,H.glabra,Not.focal.species,P.canescens,,0,1,0,0
12O,12O.H.glabra,12O.H.glabra.Highcomp,Highcomp,12,O,Shade,H.glabra,Not.focal.species,W.acuminata,,0,1,0,0
15A,15A.A.calendula,15A.A.calendula.Highcomp,Highcomp,15,A,Open,A.calendula,A.calendula,A.calendula,,0,1,1,1
15A,15A.A.calendula,15A.A.calendula.Highcomp,Highcomp,15,A,Open,A.calendula,A.calendula,P.canescens,,0,1,0,0
15A,15A.H.glabra,15A.H.glabra.Highcomp,Highcomp,15,A,Open,H.glabra,Not.focal.species,G.berardiana,,0,2,0,0
15A,15A.H.glabra,15A.H.glabra.Highcomp,Highcomp,15,A,Open,H.glabra,Not.focal.species,T.cyanopetala,,0,1,0,0
15A,15A.P.airoides,15A.P.airoides.Highcomp,Highcomp,15,A,Open,P.airoides,Not.focal.species,D.macrantha,,0,1,0,0
15A,15A.T.cyanopetala,15A.T.cyanopetala.Highcomp,Highcomp,15,A,Open,T.cyanopetala,Not.focal.species,Cheilanthes.sp,,0,6,0,0
15B,15B.A.calendula,15B.A.calendula.Highcomp,Highcomp,15,B,Open,A.calendula,Not.focal.species,NA,,0,NA,NA,NA
15B,15B.M.minima,15B.M.minima.Highcomp,Highcomp,15,B,Open,M.minima,Not.focal.species,NA,,0,NA,NA,NA
15B,15B.P.canescens,15B.P.canescens.Highcomp,Highcomp,15,B,Open,P.canescens,M.minima,M.minima,,0,1,1,1
15B,15B.T.cyanopetala,15B.T.cyanopetala.Highcomp,Highcomp,15,B,Open,T.cyanopetala,M.minima,M.minima,,0,1,1,1
15B,15B.T.cyanopetala,15B.T.cyanopetala.Highcomp,Highcomp,15,B,Open,T.cyanopetala,M.minima,T.cyanopetala,,0,2,0,0
15C,15C.H.glutinosum,15C.H.glutinosum.Highcomp,Highcomp,15,C,Shade,H.glutinosum,T.cyanopetala,H.glutinosum,,0,3,0,0
15C,15C.H.glutinosum,15C.H.glutinosum.Highcomp,Highcomp,15,C,Shade,H.glutinosum,T.cyanopetala,T.cyanopetala,,0,1,0,0
15C,15C.M.minima,15C.M.minima.Highcomp,Highcomp,15,C,Shade,M.minima,Not.focal.species,P.debilis,,0,1,0,0
15C,15C.M.minima,15C.M.minima.Highcomp,Highcomp,15,C,Shade,M.minima,Not.focal.species,T.cyanopetala,,0,1,0,0
15C,15C.P.canescens,15C.P.canescens.Highcomp,Highcomp,15,C,Shade,P.canescens,H.glutinosum,H.glutinosum,,0,2,0,0
15C,15C.P.canescens,15C.P.canescens.Highcomp,Highcomp,15,C,Shade,P.canescens,H.glutinosum,W.acuminata,,0,3,0,0
15C,15C.T.cyanopetala,15C.T.cyanopetala.Highcomp,Highcomp,15,C,Shade,T.cyanopetala,Not.focal.species,P.canescens,,0,1,0,0
15C,15C.T.cyanopetala,15C.T.cyanopetala.Highcomp,Highcomp,15,C,Shade,T.cyanopetala,Not.focal.species,W.acuminata,,0,1,0,0
15D,15D.H.glutinosum,15D.H.glutinosum.Highcomp,Highcomp,15,D,Shade,H.glutinosum,Not.focal.species,Cheilanthes.sp,,0,15,0,0
15D,15D.H.glutinosum,15D.H.glutinosum.Highcomp,Highcomp,15,D,Shade,H.glutinosum,Not.focal.species,Erodium.cygnorum,,0,1,0,0
15D,15D.H.glutinosum,15D.H.glutinosum.Highcomp,Highcomp,15,D,Shade,H.glutinosum,Not.focal.species,H.glutinosum,,0,3,0,0
15D,15D.P.canescens,15D.P.canescens.Highcomp,Highcomp,15,D,Shade,P.canescens,Not.focal.species,Cheilanthes.sp,,0,2,0,0
15D,15D.P.canescens,15D.P.canescens.Highcomp,Highcomp,15,D,Shade,P.canescens,Not.focal.species,H.glutinosum,,0,2,0,0
15D,15D.T.cyanopetala,15D.T.cyanopetala.Highcomp,Highcomp,15,D,Shade,T.cyanopetala,Not.focal.species,H.glutinosum,,0,3,0,0
15D,15D.T.cyanopetala,15D.T.cyanopetala.Highcomp,Highcomp,15,D,Shade,T.cyanopetala,Not.focal.species,W.acuminata,,0,1,0,0
15D,15D.V.rosea,15D.V.rosea.Highcomp,Highcomp,15,D,Shade,V.rosea,H.glutinosum,H.glutinosum,,0,1,0,0
15E,15E.A.calendula,15E.A.calendula.Highcomp,Highcomp,15,E,Open,A.calendula,Not.focal.species,P.gaudichaudii,,0,1,0,0
15E,15E.H.glutinosum,15E.H.glutinosum.Highcomp,Highcomp,15,E,Open,H.glutinosum,H.glutinosum,H.glutinosum,,0,1,0,0
15E,15E.M.minima,15E.M.minima.Highcomp,Highcomp,15,E,Open,M.minima,Not.focal.species,A.calendula,,0,1,1,1
15E,15E.M.minima,15E.M.minima.Highcomp,Highcomp,15,E,Open,M.minima,Not.focal.species,H.glutinosum,,0,2,0,0
15E,15E.P.canescens,15E.P.canescens.Highcomp,Highcomp,15,E,Open,P.canescens,Not.focal.species,M.minima,,0,1,1,1
15F,15F.A.calendula,15F.A.calendula.Highcomp,Highcomp,15,F,Shade,A.calendula,Not.focal.species,D.glochidiatus,,0,1,0,0
15F,15F.H.glabra,15F.H.glabra.Highcomp,Highcomp,15,F,Shade,H.glabra,Not.focal.species,C.pseudevax,,0,1,0,0
15F,15F.H.glabra,15F.H.glabra.Highcomp,Highcomp,15,F,Shade,H.glabra,Not.focal.species,H.glutinosum,,0,4,0,0
15F,15F.H.glabra,15F.H.glabra.Highcomp,Highcomp,15,F,Shade,H.glabra,Not.focal.species,P.airoides,,0,1,1,1
15F,15F.P.airoides,15F.P.airoides.Highcomp,Highcomp,15,F,Shade,P.airoides,P.airoides,C.colorata,,0,4,0,0
15F,15F.P.airoides,15F.P.airoides.Highcomp,Highcomp,15,F,Shade,P.airoides,P.airoides,P.airoides,,0,6,1,6
15F,15F.P.canescens,15F.P.canescens.Highcomp,Highcomp,15,F,Shade,P.canescens,Not.focal.species,C.colorata,,1,5,0,0
15F,15F.P.canescens,15F.P.canescens.Highcomp,Highcomp,15,F,Shade,P.canescens,Not.focal.species,C.hispidula,,1,1,0,0
15F,15F.P.canescens,15F.P.canescens.Highcomp,Highcomp,15,F,Shade,P.canescens,Not.focal.species,V.rosea,,1,1,0,0
15F,15F.V.rosea,15F.V.rosea.Highcomp,Highcomp,15,F,Shade,V.rosea,P.airoides,C.colorata,,0,3,0,0
15F,15F.V.rosea,15F.V.rosea.Highcomp,Highcomp,15,F,Shade,V.rosea,P.airoides,H.glutinosum,,0,2,0,0
15F,15F.V.rosea,15F.V.rosea.Highcomp,Highcomp,15,F,Shade,V.rosea,P.airoides,P.airoides,,0,3,1,3
15F,15F.V.rosea,15F.V.rosea.Highcomp,Highcomp,15,F,Shade,V.rosea,P.airoides,W.acuminata,,0,1,0,0
15G,15G.H.glabra,15G.H.glabra.Highcomp,Highcomp,15,G,Shade,H.glabra,Not.focal.species,P.canescens,,0,1,0,0
15G,15G.H.glabra,15G.H.glabra.Highcomp,Highcomp,15,G,Shade,H.glabra,Not.focal.species,T.cyanopetala,,0,1,0,0
15G,15G.V.rosea,15G.V.rosea.Highcomp,Highcomp,15,G,Shade,V.rosea,V.rosea,V.rosea,,0,1,0,0
15H,15H.H.glabra,15H.H.glabra.Highcomp,Highcomp,15,H,Shade,H.glabra,A.calendula,A.calendula,,0,1,1,1
15H,15H.H.glabra,15H.H.glabra.Highcomp,Highcomp,15,H,Shade,H.glabra,A.calendula,Cheilanthes.sp,,0,1,0,0
15H,15H.H.glabra,15H.H.glabra.Highcomp,Highcomp,15,H,Shade,H.glabra,A.calendula,P.canescens,,0,1,0,0
15H,15H.M.minima,15H.M.minima.Highcomp,Highcomp,15,H,Shade,M.minima,P.canescens,Cheilanthes.sp,,0,8,0,0
15H,15H.M.minima,15H.M.minima.Highcomp,Highcomp,15,H,Shade,M.minima,P.canescens,P.canescens,,0,1,0,0
15H,15H.P.canescens,15H.P.canescens.Highcomp,Highcomp,15,H,Shade,P.canescens,A.calendula,A.calendula,,0,1,1,1
