b.p,b.p.l,b.p.l.d.pl,Block,Light,Plot,Density,no.plants,Plant.ID,species,competitor,Focal.1,Focal.2,Colwell P,Canopy Cover,Soil.Moisture.1.avg,Soil.Moisture.2.avg,Soil.Moisture.3.avg,Soil.Moisture.Mean,Soil.Moisture.Coefficient.Variation,Height,Lat.1,Lat.2,avg.lat,canopy.arch,Longest.Leaf,NearestNeighbour.ID,NearestNeighbour.Distandce,no.developed.flowers,Mean.seed.per.flower,Extrapolated.Seed.Total
12.vhl,12.vhl.o,12.vhl.o.l.h.1,12,o,vhl,l,2,h.1,h,v,V.rosea,H.glutinosum,10.21059632,0,19.35,20.7,9,16.35,0.361697563,87,17,5,11,0.126436782,11,v.1,21,2,5,9
12.vhl2,12.vhl2.s,12.vhl2.s.l.v.1,12,s,vhl2,l,2,v.1,v,h,V.rosea,H.glutinosum,9.889111839,70.40728105,16.525,17.6,7.35,13.825,0.374967775,26,42,9,25.5,0.980769231,42,h.1,34,6,4,26
12.vhl2,12.vhl2.s,12.vhl2.s.l.h.1,12,s,vhl2,l,2,h.1,h,v,V.rosea,H.glutinosum,9.889111839,70.40728105,16.525,17.6,7.35,13.825,0.374967775,18,9,8,8.5,0.472222222,8,v.1,34,0,NA,NA
12.vhm,12.vhm.o,12.vhm.o.m.v.1,12,o,vhm,m,4,v.1,v,h,V.rosea,H.glutinosum,10.21059632,29.02311208,13.575,16.05,5.225,11.61666667,0.468459956,50,25,5,15,0.3,52,v.2,31,20,4,86
12.vhm,12.vhm.o,12.vhm.o.m.v.2,12,o,vhm,m,4,v.2,v,h,V.rosea,H.glutinosum,10.21059632,29.02311208,13.575,16.05,5.225,11.61666667,0.468459956,43,33,18,25.5,0.593023256,40,h.1,14,22,3,66
12.vhm,12.vhm.o,12.vhm.o.m.h.1,12,o,vhm,m,4,h.1,h,v,V.rosea,H.glutinosum,10.21059632,29.02311208,21.175,21.8,9.375,17.45,0.361310932,41,7,4,5.5,0.134146341,7,v.1,14,1,5,5
12.vhm,12.vhm.o,12.vhm.o.m.h.2,12,o,vhm,m,4,h.2,h,v,V.rosea,H.glutinosum,10.21059632,29.02311208,21.175,21.8,9.375,17.45,0.361310932,61,20,6,13,0.213114754,11,v.1,67,1,11,11
12.vhm2,12.vhm2.s,12.vhm2.s.m.v.1,12,s,vhm2,m,4,v.1,v,h,V.rosea,H.glutinosum,9.889111839,78.88956055,21.175,21.8,9.375,17.45,0.361310932,30,33,4,18.5,0.616666667,41,NA,NA,1,2,2
12.vhm2,12.vhm2.s,12.vhm2.s.m.v.2,12,s,vhm2,m,4,v.2,v,h,V.rosea,H.glutinosum,9.889111839,78.88956055,17.5,17.275,8.55,14.44166667,0.308201189,38,36,44,40,1.052631579,NA,NA,NA,4,4,14
12.vhm2,12.vhm2.s,12.vhm2.s.m.h.1,12,s,vhm2,m,4,h.1,h,v,V.rosea,H.glutinosum,9.889111839,78.88956055,17.5,17.275,8.55,14.44166667,0.308201189,74,47,6,26.5,0.358108108,11,NA,NA,0,NA,NA
12.vhm2,12.vhm2.s,12.vhm2.s.m.h.2,12,s,vhm2,m,4,h.2,h,v,V.rosea,H.glutinosum,9.889111839,78.88956055,17.5,17.275,8.55,14.44166667,0.308201189,20,9,3,6,0.3,6,NA,NA,0,NA,NA
12.vph,12.vph.o,12.vph.o.h.v.1,12,o,vph,h,6,v.1,v,p,V.rosea,P.airoides,11.2,0,21.65,24.625,10.25,18.84166667,0.383887256,6,6,3,4.5,0.75,6,v.2,14,5,2,12
12.vph,12.vph.o,12.vph.o.h.v.2,12,o,vph,h,6,v.2,v,p,V.rosea,P.airoides,11.2,0,16.8,18.375,8.025,14.4,0.362581309,36,19,13,16,0.444444444,26,v.1,14,58,3,148
12.vph,12.vph.o,12.vph.o.h.v.3,12,o,vph,h,6,v.3,v,p,V.rosea,P.airoides,11.2,0,20.575,23.65,10.15,18.125,0.374452487,34,13,8,10.5,0.308823529,30,p.2,20,41,3,141
12.vph,12.vph.s,12.vph.s.h.v.1,12,s,vph,h,6,v.1,v,p,V.rosea,P.airoides,12.96165662,76.45419406,20.575,23.65,10.15,18.125,0.374452487,17,19,2,10.5,0.617647059,19,p.1,56,3,2,6
12.vph,12.vph.s,12.vph.s.h.v.2,12,s,vph,h,6,v.2,v,p,V.rosea,P.airoides,12.96165662,76.45419406,18,20.925,9.775,16.23333333,0.344863127,34,31,27,29,0.852941176,38,p.2,39,5,1,5
12.vph,12.vph.s,12.vph.s.h.v.3,12,s,vph,h,6,v.3,v,p,V.rosea,P.airoides,12.96165662,76.45419406,18,20.925,9.775,16.23333333,0.344863127,12,24,0,12,1,24,p.3,7,7,2,14
12.vph,12.vph.o,12.vph.o.h.p.1,12,o,vph,h,6,p.1,p,v,V.rosea,P.airoides,11.2,0,15.275,18,6.6,13.29166667,0.430998042,49,18,4,11,0.224489796,21,p.2,18,1,46,46
12.vph,12.vph.o,12.vph.o.h.p.2,12,o,vph,h,6,p.2,p,v,V.rosea,P.airoides,11.2,0,15.275,18,6.6,13.29166667,0.430998042,54,24,5,14.5,0.268518519,15,v.3,20,1,72,72
12.vph,12.vph.o,12.vph.o.h.p.3,12,o,vph,h,6,p.3,p,v,V.rosea,P.airoides,11.2,0,19,20.2,8.525,15.90833333,0.371209941,104,34,15,24.5,0.235576923,19,v.3,30,1,54,54
12.vph,12.vph.s,12.vph.s.h.p.1,12,s,vph,h,6,p.1,p,v,V.rosea,P.airoides,12.96165662,76.45419406,19,20.2,8.525,15.90833333,0.371209941,89,55,6,30.5,0.342696629,40,v.1,56,4,207,826
12.vph,12.vph.s,12.vph.s.h.p.2,12,s,vph,h,6,p.2,p,v,V.rosea,P.airoides,12.96165662,76.45419406,19,20.2,8.525,15.90833333,0.371209941,56,27,2,14.5,0.258928571,27,v.2,39,2,98,196
12.vph,12.vph.s,12.vph.s.h.p.3,12,s,vph,h,6,p.3,p,v,V.rosea,P.airoides,12.96165662,76.45419406,14.05,16.525,8.525,13.03333333,0.307730358,83,90,32,61,0.734939759,31,v.3,7,7,184,1290
12.vph2,12.vph2.o,12.vph2.o.h.v.1,12,o,vph2,h,6,v.1,v,p,V.rosea,P.airoides,7.180417044,5.754665198,14.05,16.525,8.525,13.03333333,0.307730358,19,25,0,12.5,0.657894737,27,p.2,12,NA,NA,NA
12.vph2,12.vph2.o,12.vph2.o.h.v.2,12,o,vph2,h,6,v.2,v,p,V.rosea,P.airoides,7.180417044,5.754665198,14.05,16.525,8.525,13.03333333,0.307730358,52,43,37,40,0.769230769,49,v.1,14,NA,NA,NA
12.vph2,12.vph2.o,12.vph2.o.h.v.3,12,o,vph2,h,6,v.3,v,p,V.rosea,P.airoides,7.180417044,5.754665198,18.25,19.475,8.875,15.53333333,0.344916753,49,48,22,35,0.714285714,50,p.3,55,NA,NA,NA
12.vph2,12.vph2.o,12.vph2.o.h.p.1,12,o,vph2,h,6,p.1,p,v,V.rosea,P.airoides,7.180417044,5.754665198,18.25,19.475,8.875,15.53333333,0.344916753,34,16,3,9.5,0.279411765,14,p.2,18,NA,NA,NA
12.vph2,12.vph2.o,12.vph2.o.h.p.2,12,o,vph2,h,6,p.2,p,v,V.rosea,P.airoides,7.180417044,5.754665198,18.25,19.475,8.875,15.53333333,0.344916753,48,22,11,16.5,0.34375,20,v.1,12,NA,NA,NA
12.vph2,12.vph2.o,12.vph2.o.h.p.3,12,o,vph2,h,6,p.3,p,v,V.rosea,P.airoides,7.180417044,5.754665198,19.7,20.825,9.025,16.51666667,0.361521869,36,8,0,4,0.111111111,16,p.2,45,NA,NA,NA
12.vpl,12.vpl.s,12.vpl.s.l.v.1,12,s,vpl,l,2,v.1,v,p,V.rosea,P.airoides,12.96165662,60.41411199,16.15,18.275,10,14.80833333,0.280624967,45,27,4,15.5,0.344444444,50,p.1,45,5,4,18
12.vpl,12.vpl.s,12.vpl.s.l.p.1,12,s,vpl,l,2,p.1,p,v,V.rosea,P.airoides,12.96165662,60.41411199,15.4,17.125,6.85,13.125,0.394613773,130,97,21,59,0.453846154,40,v.1,45,8,174,1390
12.vpl2,12.vpl2.o,12.vpl2.o.l.v.1,12,o,vpl2,l,2,v.1,v,p,V.rosea,P.airoides,7.180417044,4.142110331,15.8,20.1,7.45,14.45,0.438546336,53,49,24,36.5,0.688679245,55,p.1,55,50,4,183
12.vpl2,12.vpl2.o,12.vpl2.o.l.p.1,12,o,vpl2,l,2,p.1,p,v,V.rosea,P.airoides,7.180417044,4.142110331,15.8,20.1,7.45,14.45,0.438546336,59,41,6,23.5,0.398305085,19,v.1,55,4,157,628
12.vpm,12.vpm.o,12.vpm.o.m.v.1,12,o,vpm,m,4,v.1,v,p,V.rosea,P.airoides,7.180417044,6.988419357,18.5,20.1,12,16.86666667,0.24174035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12.vpm,12.vpm.o,12.vpm.o.m.v.2,12,o,vpm,m,4,v.2,v,p,V.rosea,P.airoides,7.180417044,6.988419357,18.5,20.1,12,16.86666667,0.24174035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12.vpm,12.vpm.o,12.vpm.o.m.p.1,12,o,vpm,m,4,p.1,p,v,V.rosea,P.airoides,7.180417044,6.988419357,16.8,17.875,10.5,15.05833333,0.247146734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12.vpm,12.vpm.o,12.vpm.o.m.p.2,12,o,vpm,m,4,p.2,p,v,V.rosea,P.airoides,7.180417044,6.988419357,16.8,17.875,10.5,15.05833333,0.247146734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12.vpm2,12.vpm2.o,12.vpm2.o.m.v.1,12,o,vpm2,m,4,v.1,v,p,V.rosea,P.airoides,7.180417044,4.121438599,15.025,16.4,6.1,12.50833333,0.415802029,23,9,3,6,0.260869565,27,p.1,33,5,4,18
12.vpm2,12.vpm2.o,12.vpm2.o.m.v.2,12,o,vpm2,m,4,v.2,v,p,V.rosea,P.airoides,7.180417044,4.121438599,11,12.625,5.85,9.825,0.346507838,52,54,11,32.5,0.625,48,p.2,55,46,4,179
12.vpm2,12.vpm2.o,12.vpm2.o.m.p.1,12,o,vpm2,m,4,p.1,p,v,V.rosea,P.airoides,7.180417044,4.121438599,13.825,15.775,6.95,12.18333333,0.364257966,67,76,32,54,0.805970149,25,v.1,33,11,182,2006
12.vpm2,12.vpm2.o,12.vpm2.o.m.p.2,12,o,vpm2,m,4,p.2,p,v,V.rosea,P.airoides,7.180417044,4.121438599,13.825,15.775,6.95,12.18333333,0.364257966,46,21,1,11,0.239130435,12,v.1,50,NA,NA,NA
12.vpm3,12.vpm3.s,12.vpm3.s.m.v.1,12,s,vpm3,m,4,v.1,v,p,V.rosea,P.airoides,9.290103836,56.17723758,13.825,15.775,6.95,12.18333333,0.364257966,21,29,23,26,1.238095238,29,v.2,39,9,2,20
12.vpm3,12.vpm3.s,12.vpm3.s.m.v.2,12,s,vpm3,m,4,v.2,v,p,V.rosea,P.airoides,9.290103836,56.17723758,12.85,14.675,6.35,11.29166667,0.370781205,14,11,7,9,0.642857143,9,p.2,19,2,2,4
12.vpm3,12.vpm3.s,12.vpm3.s.m.p.1,12,s,vpm3,m,4,p.1,p,v,V.rosea,P.airoides,9.290103836,56.17723758,12.85,14.675,6.35,11.29166667,0.370781205,56,44,10,27,0.482142857,27,v.1,40,3,91,274
12.vpm3,12.vpm3.s,12.vpm3.s.m.p.2,12,s,vpm3,m,4,p.2,p,v,V.rosea,P.airoides,9.290103836,56.17723758,12.85,14.675,6.35,11.29166667,0.370781205,59,43,0,21.5,0.36440678,36,v.2,19,2,78,156
12.vsoloB,12.vsoloB.o,12.vsoloB.o.s.v.1,12,o,vsoloB,s,1,v.1,v,NA,V.rosea,NA,13.3,4.793,13.8,15.175,5.475,11.48333333,0.426347518,50,NA,NA,NA,NA,NA,NA,NA,89,4.112359551,366
12.vsoloC,12.vsoloC.s,12.vsoloC.s.s.v.1,12,s,vsoloC,s,1,v.1,v,NA,V.rosea,NA,6.4,42.4,12.725,14.425,5.975,11.04166667,0.385164052,85,NA,NA,NA,NA,NA,NA,NA,92,2.793478261,257
12.vsoloD,12.vsoloD.o,12.vsoloD.o.s.v.1,12,o,vsoloD,s,1,v.1,v,NA,V.rosea,NA,11.2,2.432,14.05,16.65,7.075,12.59166667,0.381678926,40,NA,NA,NA,NA,NA,NA,NA,15,2.4,36
12.vsoloG,12.vsoloG.o,12.vsoloG.o.s.v.1,12,o,vsoloG,s,1,v.1,v,NA,V.rosea,NA,12.7,11.088,14.05,16.65,7.075,12.59166667,0.381678926,60,NA,NA,NA,NA,NA,NA,NA,63,3.936507937,248
12.vsoloH,12.vsoloH.o,12.vsoloH.o.s.v.1,12,o,vsoloH,s,1,v.1,v,NA,V.rosea,NA,20.9,21.854,12.725,14.775,5.975,11.15833333,0.396401653,100,NA,NA,NA,NA,NA,NA,NA,38,1.947368421,74
12.vsoloK,12.vsoloK.s,12.vsoloK.s.s.v.1,12,s,vsoloK,s,1,v.1,v,NA,V.rosea,NA,14,52.601,12.725,14.775,5.975,11.15833333,0.396401653,70,NA,NA,NA,NA,NA,NA,NA,3,3,9
12.vsoloL,12.vsoloL.o,12.vsoloL.o.s.v.1,12,o,vsoloL,s,1,v.1,v,NA,V.rosea,NA,11.5,18.087,18.875,18.25,8.425,15.18333333,0.331071176,45,NA,NA,NA,NA,NA,NA,NA,57,3.50877193,200
13.chl,13.chl.o,13.chl.o.l.h.1,13,o,chl,l,2,h.1,h,c,A.calendula,H.glutinosum,5.705514746,0,18.875,18.25,8.425,15.18333333,0.331071176,58,31,5,18,0.310344828,8,c.1,68,1,6,6
13.chl,13.chl.o,13.chl.o.l.c.1,13,o,chl,l,2,c.1,c,h,A.calendula,H.glutinosum,5.705514746,0,18.875,18.25,8.425,15.18333333,0.331071176,37,19,6,12.5,0.337837838,23,h.1,68,2,25,50
13.csolo,13.csolo.o,13.csolo.o.s.c.1,13,o,csolo,s,1,c.1,c,NA,A.calendula,NA,5.705514746,0,16.9,18.375,8.275,14.51666667,0.351089655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13.csolo,13.csolo.s,13.csolo.s.s.c.1,13,s,csolo,s,1,c.1,c,NA,A.calendula,NA,6.176435761,51.85004815,16.9,18.375,8.275,14.51666667,0.351089655,76,44,10,27,0.355263158,67,NA,NA,2,15,29
13.cvh,13.cvh.s,13.cvh.s.h.v.1,13,s,cvh,h,6,v.1,v,c,A.calendula,V.rosea,6.176435761,51.85004815,16.9,18.375,8.275,14.51666667,0.351089655,16,15,6,10.5,0.65625,13,c.1,35,2,2,4
13.cvh,13.cvh.s,13.cvh.s.h.v.2,13,s,cvh,h,6,v.2,v,c,A.calendula,V.rosea,6.176435761,51.85004815,11.625,13.725,5.1,10.15,0.426942813,32,20,15,17.5,0.546875,33,c.3,45,13,3,33
13.cvh,13.cvh.s,13.cvh.s.h.v.3,13,s,cvh,h,6,v.3,v,c,A.calendula,V.rosea,6.176435761,51.85004815,18.625,19.475,9.9,16,0.302943728,37,17,12,14.5,0.391891892,27,c.2,32,8,3,22
13.cvh,13.cvh.s,13.cvh.s.h.c.1,13,s,cvh,h,6,c.1,c,v,A.calendula,V.rosea,6.176435761,51.85004815,14.55,13.825,5.225,11.2,0.393518197,66,37,23,30,0.454545455,52,v.1,35,0,NA,NA
13.cvh,13.cvh.s,13.cvh.s.h.c.2,13,s,cvh,h,6,c.2,c,v,A.calendula,V.rosea,6.176435761,51.85004815,14.55,13.825,5.225,11.2,0.393518197,35,45,0,22.5,0.642857143,25,c.3,12,0,NA,NA
13.cvh,13.cvh.s,13.cvh.s.h.c.3,13,s,cvh,h,6,c.3,c,v,A.calendula,V.rosea,6.176435761,51.85004815,15.4,15.65,7.575,12.875,0.318661621,50,21,12,16.5,0.33,38,c.2,12,0,NA,NA
13.cvl3,13.cvl3.o,13.cvl3.o.l.v.1,13,o,cvl3,l,2,v.1,v,c,A.calendula,V.rosea,5.705514746,0,15.4,15.65,7.575,12.875,0.318661621,23,14,12,13,0.565217391,20,c.1,46,7,2,14
13.cvl3,13.cvl3.o,13.cvl3.o.l.c.1,13,o,cvl3,l,2,c.1,c,v,A.calendula,V.rosea,5.705514746,0,NA,NA,NA,NA,NA,61,49,0,24.5,0.401639344,46,v.1,46,7,34,237
13.cvm3,13.cvm3.s,13.cvm3.s.m.v.1,13,s,cvm3,m,4,v.1,v,c,A.calendula,V.rosea,6.176435761,51.85004815,16.9,20.6,7.675,15.05833333,0.430614135,27,17,10,13.5,0.5,25,c.1,20,8,2,16
13.cvm3,13.cvm3.s,13.cvm3.s.m.v.2,13,s,cvm3,m,4,v.2,v,c,A.calendula,V.rosea,6.176435761,51.85004815,16.9,20.6,7.675,15.05833333,0.430614135,41,34,16,25,0.609756098,31,v.1,75,26,2,54
13.cvm3,13.cvm3.s,13.cvm3.s.m.c.1,13,s,cvm3,m,4,c.1,c,v,A.calendula,V.rosea,6.176435761,51.85004815,16.9,20.6,7.675,15.05833333,0.430614135,65,23,0,11.5,0.176923077,33,c.2,18,1,16,16
13.cvm3,13.cvm3.s,13.cvm3.s.m.c.2,13,s,cvm3,m,4,c.2,c,v,A.calendula,V.rosea,6.176435761,51.85004815,11.5,15.15,4.475,10.375,0.515409238,126,34,21,27.5,0.218253968,65,c.1,18,0,NA,NA
13.hsolo,13.hsolo.o,13.hsolo.o.s.h.1,13,o,hsolo,s,1,h.1,h,NA,H.glutinosum,NA,5.705514746,0,11.5,15.15,4.475,10.375,0.515409238,94,27,5,16,0.170212766,7,NA,NA,4,6,22
13.hsolo,13.hsolo.s,13.hsolo.s.s.h.1,13,s,hsolo,s,1,h.1,h,NA,H.glutinosum,NA,7.008985879,51.85004815,11.5,15.15,4.475,10.375,0.515409238,15,11,7,9,0.6,11,NA,NA,NA,NA,NA
13.psolo,13.psolo.o,13.psolo.o.s.p.1,13,o,psolo,s,1,p.1,p,NA,P.airoides,NA,5.705514746,0,21.8,24.75,10.125,18.89166667,0.389618257,48,67,11,39,0.8125,25,NA,NA,4,115,458
13.psolo,13.psolo.s,13.psolo.s.s.p.1,13,s,psolo,s,1,p.1,p,NA,P.airoides,NA,8.98334794,54.12380291,11.25,16.025,4.85,10.70833333,0.521994165,52,12,4,8,0.153846154,34,NA,NA,2,33,66
13.vch2,13.vch2.o,13.vch2.o.h.v.1,13,o,vch2,h,6,v.1,v,c,V.rosea,P.airoides,4.92623757,0,NA,NA,NA,NA,NA,59,40,12,26,0.440677966,51,c.1,23,39,4,139
13.vch2,13.vch2.o,13.vch2.o.h.v.2,13,o,vch2,h,6,v.2,v,c,V.rosea,P.airoides,4.92623757,0,NA,NA,NA,NA,NA,36,26,19,22.5,0.625,39,v.3,14,3,4,11
13.vch2,13.vch2.o,13.vch2.o.h.v.3,13,o,vch2,h,6,v.3,v,c,V.rosea,A.calendula,4.92623757,0,11.625,15.275,4.35,10.41666667,0.525468071,31,16,10,13,0.419354839,30,v.2,14,23,3,65
13.vch2,13.vch2.o,13.vch2.o.h.c.1,13,o,vch2,h,6,c.1,c,v,V.rosea,A.calendula,4.92623757,0,11.625,15.275,4.35,10.41666667,0.525468071,89,45,0,22.5,0.252808989,40,c.2,18,5,25,127
13.vch2,13.vch2.o,13.vch2.o.h.c.2,13,o,vch2,h,6,c.2,c,v,V.rosea,A.calendula,4.92623757,0,NA,18.85,7.225,13.0375,0.445829338,88,65,9,37,0.420454545,85,c.1,18,1,45,45
13.vch2,13.vch2.o,13.vch2.o.h.c.3,13,o,vch2,h,6,c.3,c,v,V.rosea,A.calendula,4.92623757,0,NA,18.85,7.225,13.0375,0.445829338,51,88,32,60,1.176470588,95,c.2,65,8,45,362
13.vcl,13.vcl.s,13.vcl.s.l.v.1,13,s,vcl,l,2,v.1,v,c,V.rosea,A.calendula,7.008985879,51.85004815,18.6,23.05,9.775,17.14166667,0.387992442,28,28,0,14,0.5,34,c.1,24,6,3,18
13.vcl,13.vcl.s,13.vcl.s.l.c.1,13,s,vcl,l,2,c.1,c,v,V.rosea,A.calendula,7.008985879,51.85004815,18.6,23.05,9.775,17.14166667,0.387992442,64,80,80,80,1.25,84,v.1,24,6,33,198
13.vcl2,13.vcl2.o,13.vcl2.o.l.v.1,13,o,vcl2,l,2,v.1,v,c,V.rosea,P.airoides,5.705514746,0,18.6,23.05,9.775,17.14166667,0.387992442,25,33,7,20,0.8,28,c.1,52,39,3,101
13.vcl2,13.vcl2.o,13.vcl2.o.l.c.1,13,o,vcl2,l,2,c.1,c,v,V.rosea,P.airoides,5.705514746,0,14.45,18.7,NA,16.575,0.090654716,44,15,7,11,0.25,33,v.1,52,5,26,132
13.vcl4,13.vcl4.s,13.vcl4.s.l.v.1,13,s,vcl4,l,2,v.1,v,c,V.rosea,P.airoides,8.98334794,51.85004815,14.45,18.7,NA,16.575,0.090654716,52,50,45,47.5,0.913461538,60,c.1,68,32,3,109
13.vcl4,13.vcl4.s,13.vcl4.s.l.c.1,13,s,vcl4,l,2,c.1,c,v,V.rosea,P.airoides,8.98334794,51.85004815,14.45,18.7,NA,16.575,0.090654716,120,160,103,131.5,1.095833333,160,v.1,68,17,40,685
13.vcm,13.vcm.o,13.vcm.o.m.v.1,13,o,vcm,m,4,v.1,v,c,V.rosea,A.calendula,7.840488124,0,NA,NA,NA,NA,NA,36,34,12,23,0.638888889,35,v.2,30,50,3,138
13.vcm,13.vcm.o,13.vcm.o.m.v.2,13,o,vcm,m,4,v.2,v,c,V.rosea,A.calendula,7.840488124,0,NA,NA,NA,NA,NA,45,38,23,30.5,0.677777778,49,v.1,30,19,3,63
13.vcm,13.vcm.o,13.vcm.o.m.c.1,13,o,vcm,m,4,c.1,c,v,V.rosea,A.calendula,7.840488124,0,NA,NA,NA,NA,NA,60,100,33,66.5,1.108333333,103,v.2,66,16,34,541
13.vcm,13.vcm.o,13.vcm.o.m.c.2,13,o,vcm,m,4,c.2,c,v,V.rosea,A.calendula,7.840488124,0,27.45,28.425,10.225,22.03333333,0.41906345,33,37,9,23,0.696969697,45,v.2,55,3,23,69
13.vph,13.vph.o,13.vph.o.h.v.1,13,o,vph,h,6,v.1,v,p,V.rosea,P.airoides,8.98334794,0,24.875,29.175,11.25,21.76666667,0.413811888,21,27,25,26,1.238095238,23,v.2,53,0,NA,NA
13.vph,13.vph.o,13.vph.o.h.v.2,13,o,vph,h,6,v.2,v,p,V.rosea,P.airoides,8.98334794,0,25.45,27.7,10.15,21.1,0.420113511,25,22,15,18.5,0.74,26,v.3,30,17,2,28
13.vph,13.vph.o,13.vph.o.h.v.3,13,o,vph,h,6,v.3,v,p,V.rosea,P.airoides,8.98334794,0,14.325,17.025,5.85,12.4,0.452827847,28,13,0,6.5,0.232142857,29,p.2,7,5,3,13
13.vph,13.vph.o,13.vph.o.h.p.1,13,o,vph,h,6,p.1,p,v,V.rosea,P.airoides,8.98334794,0,22.425,25.35,9.625,19.13333333,0.413922199,92,74,19,46.5,0.505434783,22,v.3,31,5,203,1015
13.vph,13.vph.o,13.vph.o.h.p.2,13,o,vph,h,6,p.2,p,v,V.rosea,P.airoides,8.98334794,0,22.425,25.35,9.625,19.13333333,0.413922199,54,16,3,9.5,0.175925926,13,v.3,7,4,64,254
13.vph,13.vph.o,13.vph.o.h.p.3,13,o,vph,h,6,p.3,p,v,V.rosea,P.airoides,8.98334794,0,11.5,15.925,5.475,10.96666667,0.47665056,44,37,7,22,0.5,19,v.3,27,NA,NA,NA
13.vph2,13.vph2.s,13.vph2.s.h.v.1,13,s,vph2,h,6,v.1,v,p,V.rosea,P.airoides,8.98334794,49.00136683,11.5,15.925,5.475,10.96666667,0.47665056,27,25,15,20,0.740740741,23,p.1,5,29,3,73
13.vph2,13.vph2.s,13.vph2.s.h.v.2,13,s,vph2,h,6,v.2,v,p,V.rosea,P.airoides,8.98334794,49.00136683,29.275,30.85,10.45,23.525,0.439284876,20,15,7,11,0.55,19,p.2,11,5,2,12
13.vph2,13.vph2.s,13.vph2.s.h.v.3,13,s,vph2,h,6,v.3,v,p,V.rosea,P.airoides,8.98334794,49.00136683,29.275,30.85,10.45,23.525,0.439284876,38,28,4,16,0.421052632,32,v.1,15,0,NA,NA
13.vph2,13.vph2.s,13.vph2.s.h.p.1,13,s,vph2,h,6,p.1,p,v,V.rosea,P.airoides,8.98334794,49.00136683,29.275,30.85,10.45,23.525,0.439284876,85,34,20,27,0.317647059,25,v.1,5,2,121,242
13.vph2,13.vph2.s,13.vph2.s.h.p.2,13,s,vph2,h,6,p.2,p,v,V.rosea,P.airoides,8.98334794,49.00136683,NA,13.225,4.975,9.1,0.453296703,59,14,13,13.5,0.228813559,22,v.2,11,4,82,326
13.vph2,13.vph2.s,13.vph2.s.h.p.3,13,s,vph2,h,6,p.3,p,v,V.rosea,P.airoides,8.98334794,49.00136683,NA,13.225,4.975,9.1,0.453296703,65,22,12,17,0.261538462,26,v.3,18,2,73,146
13.vpl,13.vpl.s,13.vpl.s.l.v.1,13,s,vpl,l,2,v.1,v,p,V.rosea,P.airoides,8.98334794,49.06852599,NA,13.225,4.975,9.1,0.453296703,27,14,10,12,0.444444444,21,p.1,39,3,2,6
13.vpl,13.vpl.s,13.vpl.s.l.p.1,13,s,vpl,l,2,p.1,p,v,V.rosea,P.airoides,8.98334794,49.06852599,NA,15.23333333,4.725,9.979166667,0.52651357,22,4,0,2,0.090909091,6,v.1,39,1,20,20
13.vpl2,13.vpl2.s,13.vpl2.s.l.v.1,13,s,vpl2,l,2,v.1,v,p,V.rosea,P.airoides,8.98334794,61.04701206,NA,15.23333333,4.725,9.979166667,0.52651357,32,22,6,14,0.4375,38,p.1,5,4,2,8
13.vpl2,13.vpl2.s,13.vpl2.s.l.p.1,13,s,vpl2,l,2,p.1,p,v,V.rosea,P.airoides,8.98334794,61.04701206,NA,15.23333333,4.725,9.979166667,0.52651357,47,13,0,6.5,0.138297872,7,v.1,5,NA,NA,NA
13.vpl3,13.vpl3.o,13.vpl3.o.l.v.1,13,o,vpl3,l,2,v.1,v,p,V.rosea,P.airoides,5.699208443,0,26.95,33.35,12.3,24.2,0.436152735,37,30,12,21,0.567567568,34,p.1,38,15,3,47
13.vpl3,13.vpl3.o,13.vpl3.o.l.p.1,13,o,vpl3,l,2,p.1,p,v,V.rosea,P.airoides,5.699208443,0,11.125,42.075,5.225,19.475,0.954146493,67,52,17,34.5,0.514925373,18,v.1,38,4,82,326
13.vpm2,13.vpm2.o,13.vpm2.o.m.v.1,13,o,vpm2,m,4,v.1,v,p,V.rosea,P.airoides,6.026258206,0,22.275,26.225,7.75,18.75,0.495646828,17,17,5,11,0.647058824,12,p.1,44,1,1,1
13.vpm2,13.vpm2.o,13.vpm2.o.m.v.2,13,o,vpm2,m,4,v.2,v,p,V.rosea,P.airoides,6.026258206,0,22.275,26.225,7.75,18.75,0.495646828,23,18,7,12.5,0.543478261,19,p.1,44,8,2,18
13.vpm2,13.vpm2.s,13.vpm2.s.m.v.1,13,s,vpm2,m,4,v.1,v,p,V.rosea,P.airoides,8.98334794,51.39062928,11.75,14.425,4.6,10.25833333,0.480715165,10,15,10,12.5,1.25,18,p.2,20,4,NA,NA
13.vpm2,13.vpm2.s,13.vpm2.s.m.v.2,13,s,vpm2,m,4,v.2,v,p,V.rosea,P.airoides,8.98334794,51.39062928,11.75,14.425,4.6,10.25833333,0.480715165,35,28,5,16.5,0.471428571,36,p.2,23,10,2,22
13.vpm2,13.vpm2.o,13.vpm2.o.m.p.1,13,o,vpm2,m,4,p.1,p,v,V.rosea,P.airoides,6.026258206,0,14.925,15.925,7.95,12.93333333,0.311500243,46,16,6,11,0.239130435,14,p.2,14,1,80,80
