b.p,b.p.l,b.p.l.d.pl,Block,Light,Plot,Density,no.plants,Plant.ID,species,competitor,Focal.1,Focal.2,Colwell P,Canopy Cover,Soil.Moisture.1.avg,Soil.Moisture.2.avg,Soil.Moisture.3.avg,Soil.Moisture.Mean,Soil.Moisture.Coefficient.Variation,Height,Lat.1,Lat.2,avg.lat,canopy.arch,Longest.Leaf,NearestNeighbour.ID,NearestNeighbour.Distandce,no.developed.flowers,Mean.seed.per.flower,Extrapolated.Seed.Total
10.vph,10.vph.o,10.vph.o.h.p.3,10,o,vph,h,6,p.3,p,v,V.rosea,P.airoides,5.795747819,2.436356944,12.725,16.15,6.1,11.65833333,0.431830634,55,46,40,43,0.781818182,30,v.1,12,6,102,612
10.vph,10.vph.s,10.vph.s.h.p.1,10,s,vph,h,6,p.1,p,v,V.rosea,P.airoides,4.020539714,59.53557934,13.075,17.15,6.85,12.35833333,0.417058969,110,40,7,23.5,0.213636364,50,p.2,10,2,153,306
10.vph,10.vph.s,10.vph.s.h.p.2,10,s,vph,h,6,p.2,p,v,V.rosea,P.airoides,4.020539714,59.53557934,13.075,17.15,6.85,12.35833333,0.417058969,130,47,8,27.5,0.211538462,53,p.1,10,4,86,344
10.vph,10.vph.s,10.vph.s.h.p.3,10,s,vph,h,6,p.3,p,v,V.rosea,P.airoides,4.020539714,59.53557934,14.15,14.775,6.225,11.71666667,0.369757577,56,39,32,35.5,0.633928571,51,v.3,23,2,50,100
10.vph2a,10.vph2a.s,10.vph2a.s.h.v.1,10,s,vph2a,h,6,v.1,v,p,V.rosea,P.airoides,3.987603306,51.23260395,14.15,14.775,6.225,11.71666667,0.369757577,51,35,7,21,0.411764706,41,v.1,11,11,4,44
10.vph2a,10.vph2a.s,10.vph2a.s.h.v.2,10,s,vph2a,h,6,v.2,v,p,V.rosea,P.airoides,3.987603306,51.23260395,14.15,14.775,6.225,11.71666667,0.369757577,37,25,5,15,0.405405405,35,v.1,11,20,3,60
10.vph2a,10.vph2a.s,10.vph2a.s.h.v.3,10,s,vph2a,h,6,v.3,v,p,V.rosea,P.airoides,3.987603306,51.23260395,12.85,15.05,4.975,10.95833333,0.462388891,36,24,7,15.5,0.430555556,40,p.1,5,6,3,18
10.vph2a,10.vph2a.s,10.vph2a.s.h.p.1,10,s,vph2a,h,6,p.1,p,v,V.rosea,P.airoides,3.987603306,51.23260395,12.85,15.05,4.975,10.95833333,0.462388891,67,24,2,13,0.194029851,36,v.3,5,1,64,64
10.vph2a,10.vph2a.s,10.vph2a.s.h.p.2,10,s,vph2a,h,6,p.2,p,v,V.rosea,P.airoides,3.987603306,51.23260395,12.85,15.05,4.975,10.95833333,0.462388891,60,18,8,13,0.216666667,20,p.1,20,2,60,120
10.vph2a,10.vph2a.s,10.vph2a.s.h.p.3,10,s,vph2a,h,6,p.3,p,v,V.rosea,P.airoides,3.987603306,51.23260395,15.8,17.375,7.95,13.70833333,0.346579384,78,33,10,21.5,0.275641026,31,p.2,54,2,60,120
10.vph2b,10.vph2b.s,10.vph2b.s.h.v.1,10,s,vph2b,h,6,v.1,v,p,V.rosea,P.airoides,3.987603306,74.84969063,13.1,14.8,4.475,10.79166667,0.482346998,42,59,45,52,1.238095238,48,p.1,37,23,3,74
10.vph2b,10.vph2b.s,10.vph2b.s.h.v.2,10,s,vph2b,h,6,v.2,v,p,V.rosea,P.airoides,3.987603306,74.84969063,17.15,17.15,6.725,13.675,0.388164547,51,65,60,62.5,1.225490196,68,p.2,37,19,4,67
10.vph2b,10.vph2b.s,10.vph2b.s.h.v.3,10,s,vph2b,h,6,v.3,v,p,V.rosea,P.airoides,3.987603306,74.84969063,17.15,17.15,6.725,13.675,0.388164547,36,35,22,28.5,0.791666667,35,p.2,30,8,3,22
10.vph2b,10.vph2b.s,10.vph2b.s.h.p.1,10,s,vph2b,h,6,p.1,p,v,V.rosea,P.airoides,3.987603306,74.84969063,16.425,17.4,8.275,14.03333333,0.328820124,55,20,17,18.5,0.336363636,45,v.3,32,1,166,166
10.vph2b,10.vph2b.s,10.vph2b.s.h.p.2,10,s,vph2b,h,6,p.2,p,v,V.rosea,P.airoides,3.987603306,74.84969063,16.425,17.4,8.275,14.03333333,0.328820124,55,20,4,12,0.218181818,30,v.3,30,3,39,116
10.vph2b,10.vph2b.s,10.vph2b.s.h.p.3,10,s,vph2b,h,6,p.3,p,v,V.rosea,P.airoides,3.987603306,74.84969063,11.375,13.175,4.85,9.8,0.427271169,50,32,10,21,0.42,37,v.3,30,2,70,140
10.vpl,10.vpl.o,10.vpl.o.l.v.1,10,o,vpl,l,2,v.1,v,p,V.rosea,P.airoides,7.7,0,11.375,13.175,4.85,9.8,0.427271169,29,31,13,22,0.75862069,36,p.1,5,6,2,11
10.vpl,10.vpl.s,10.vpl.s.l.v.1,10,s,vpl,l,2,v.1,v,p,V.rosea,P.airoides,11.18471602,69.33145637,11.375,13.175,4.85,9.8,0.427271169,49,52,49,50.5,1.030612245,43,p.1,10,37,3,107
10.vpl,10.vpl.o,10.vpl.o.l.p.1,10,o,vpl,l,2,p.1,p,v,V.rosea,P.airoides,7.7,0,14.65,14.675,4.925,11.41666667,0.434763505,68,39,12,25.5,0.375,24,v.1,5,3,113,338
10.vpl,10.vpl.s,10.vpl.s.l.p.1,10,s,vpl,l,2,p.1,p,v,V.rosea,P.airoides,11.18471602,69.33145637,14.65,14.675,4.925,11.41666667,0.434763505,66,34,14,24,0.363636364,44,v.1,10,2,27,53
10.vpl2,10.vpl2.s,10.vpl2.s.l.v.1,10,s,vpl2,l,2,v.1,v,p,V.rosea,P.airoides,4.020539714,47.14516029,14.65,14.675,4.925,11.41666667,0.434763505,38,55,9,32,0.842105263,45,p.1,67,8,3,27
10.vpl2,10.vpl2.s,10.vpl2.s.l.p.1,10,s,vpl2,l,2,p.1,p,v,V.rosea,P.airoides,4.020539714,47.14516029,13.6,14.55,5.35,11.16666667,0.416715598,98,20,17,18.5,0.18877551,35,v.1,67,4,96,382
10.vpm,10.vpm.o,10.vpm.o.m.v.1,10,o,vpm,m,4,v.1,v,p,V.rosea,P.airoides,11.18471602,5.530630906,13.3,15.525,5.35,11.39166667,0.449208977,38,28,9,18.5,0.486842105,25,p.1,10,25,2,50
10.vpm,10.vpm.o,10.vpm.o.m.v.2,10,o,vpm,m,4,v.2,v,p,V.rosea,P.airoides,11.18471602,5.530630906,11.975,13.825,5.975,10.59166667,0.372487368,21,12,0,6,0.285714286,12,p.2,38,3,3,9
10.vpm,10.vpm.s,10.vpm.s.m.v.1,10,s,vpm,m,4,v.1,v,p,V.rosea,P.airoides,11.18471602,66.65994649,11.975,13.825,5.975,10.59166667,0.372487368,55,45,32,38.5,0.7,66,p.1,39,21,3,53
10.vpm,10.vpm.s,10.vpm.s.m.v.2,10,s,vpm,m,4,v.2,v,p,V.rosea,P.airoides,11.18471602,66.65994649,13.175,14.7,3.975,10.61666667,0.509869673,39,45,36,40.5,1.038461538,44,p.1,74,20,3,50
10.vpm,10.vpm.o,10.vpm.o.m.p.1,10,o,vpm,m,4,p.1,p,v,V.rosea,P.airoides,11.18471602,5.530630906,13.175,14.7,3.975,10.61666667,0.509869673,101,32,7,19.5,0.193069307,18,v.1,10,2,85,170
10.vpm,10.vpm.o,10.vpm.o.m.p.2,10,o,vpm,m,4,p.2,p,v,V.rosea,P.airoides,11.18471602,5.530630906,14.55,16.775,5.725,12.35,0.450314249,81,20,12,16,0.197530864,32,v.2,38,4,116,462
10.vpm,10.vpm.s,10.vpm.s.m.p.1,10,s,vpm,m,4,p.1,p,v,V.rosea,P.airoides,11.18471602,66.65994649,14.55,16.775,5.725,12.35,0.450314249,80,78,25,51.5,0.64375,50,v.1,39,2,75,150
10.vpm,10.vpm.s,10.vpm.s.m.p.2,10,s,vpm,m,4,p.2,p,v,V.rosea,P.airoides,11.18471602,66.65994649,14.55,16.775,5.725,12.35,0.450314249,94,36,2,19,0.20212766,31,v.1,34,1,44,44
10.vpm2,10.vpm2.s,10.vpm2.s.m.v.1,10,s,vpm2,m,4,v.1,v,p,V.rosea,P.airoides,4.020539714,47.74071066,16.3,16.625,7.225,13.38333333,0.356773646,32,22,12,17,0.53125,38,v.2,65,10,4,40
10.vpm2,10.vpm2.s,10.vpm2.s.m.v.2,10,s,vpm2,m,4,v.2,v,p,V.rosea,P.airoides,4.020539714,47.74071066,8.175,10.125,3.6,7.3,0.448255272,46,28,22,25,0.543478261,35,v.1,65,20,3,65
10.vpm2,10.vpm2.s,10.vpm2.s.m.p.1,10,s,vpm2,m,4,p.1,p,v,V.rosea,P.airoides,4.020539714,47.74071066,13.475,14.3,5.975,11.25,0.374379047,84,31,11,21,0.25,31,p.2,25,3,126,378
10.vpm2,10.vpm2.s,10.vpm2.s.m.p.2,10,s,vpm2,m,4,p.2,p,v,V.rosea,P.airoides,4.020539714,47.74071066,13.475,14.3,5.975,11.25,0.374379047,73,34,31,32.5,0.445205479,28,p.1,25,2,45,90
10.vsoloA,10.vsoloA.o,10.vsoloA.o.s.v.1,10,o,vsoloA,s,1,v.1,v,NA,V.rosea,NA,7.7,0.704,11.625,13.2,5.85,10.225,0.361579994,70,NA,NA,NA,NA,NA,NA,NA,14,3.142857143,44
10.vsoloC,10.vsoloC.s,10.vsoloC.s.s.v.1,10,s,vsoloC,s,1,v.1,v,NA,V.rosea,NA,11.5,42.4,11.625,13.2,5.85,10.225,0.361579994,NA,NA,NA,NA,NA,NA,NA,NA,7,5.285714286,37
10.vsoloF,10.vsoloF.s,10.vsoloF.s.s.v.1,10,s,vsoloF,s,1,v.1,v,NA,V.rosea,NA,7.9,46.958,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,44,3.522727273,155
10.vsoloG,10.vsoloG.o,10.vsoloG.o.s.v.1,10,o,vsoloG,s,1,v.1,v,NA,V.rosea,NA,9.7,7.276,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,27,2.962962963,80
12.chl,12.chl.o,12.chl.o.l.h.1,12,o,chl,l,2,h.1,h,c,A.calendula,H.glutinosum,10.21059632,0,15.05,NA,4.266666667,9.658333333,0.394735192,50,10,6,8,0.16,10,c.1,55,NA,NA,NA
12.chl,12.chl.o,12.chl.o.l.c.1,12,o,chl,l,2,c.1,c,h,A.calendula,H.glutinosum,10.21059632,0,15.05,NA,4.266666667,9.658333333,0.394735192,75,84,60,72,0.96,86,h.1,55,4,47,186
12.chl2,12.chl2.s,12.chl2.s.l.h.1,12,s,chl2,l,2,h.1,h,c,A.calendula,H.glutinosum,14.47767308,46.71450453,15.05,NA,4.266666667,9.658333333,0.394735192,11,7,0,3.5,0.318181818,11,c.1,24,0,NA,NA
12.chl2,12.chl2.s,12.chl2.s.l.c.1,12,s,chl2,l,2,c.1,c,h,A.calendula,H.glutinosum,14.47767308,46.71450453,13.975,11.1,5.85,10.30833333,0.274571077,156,164,92,128,0.820512821,167,h.1,24,1,39,39
12.cph,12.cph.o,12.cph.o.h.p.1,12,o,cph,h,6,p.1,p,c,A.calendula,P.airoides,11.2,6.308808203,13.975,11.1,5.85,10.30833333,0.274571077,55,33,6,19.5,0.354545455,21,c.1,25,3,99,296
12.cph,12.cph.o,12.cph.o.h.p.2,12,o,cph,h,6,p.2,p,c,A.calendula,P.airoides,11.2,6.308808203,13.975,11.1,5.85,10.30833333,0.274571077,45,27,11,19,0.422222222,20,c.3,15,3,101,304
12.cph,12.cph.o,12.cph.o.h.p.3,12,o,cph,h,6,p.3,p,c,A.calendula,P.airoides,11.2,6.308808203,14.65,12.325,5.725,10.9,0.318625782,64,45,11,28,0.4375,23,c.2,50,5,133,664
12.cph,12.cph.o,12.cph.o.h.c.1,12,o,cph,h,6,c.1,c,p,A.calendula,P.airoides,11.2,6.308808203,13.7,13.425,5.266666667,10.79722222,0.385686788,70,27,14,20.5,0.292857143,38,p.1,25,2,27,54
12.cph,12.cph.o,12.cph.o.h.c.2,12,o,cph,h,6,c.2,c,p,A.calendula,P.airoides,11.2,6.308808203,13.075,12.475,3.35,9.633333333,0.484715015,33,34,18,26,0.787878788,43,p.2,30,0,NA,NA
12.cph,12.cph.o,12.cph.o.h.c.3,12,o,cph,h,6,c.3,c,p,A.calendula,P.airoides,11.2,6.308808203,13.075,12.475,3.35,9.633333333,0.484715015,55,17,11,14,0.254545455,33,p.2,15,1,22,22
12.cph2,12.cph2.s,12.cph2.s.h.p.1,12,s,cph2,h,6,p.1,p,c,A.calendula,P.airoides,9.499553172,49.95175531,13.1,12.1,5.266666667,10.15555556,0.346687899,27,16,0,8,0.296296296,27,p.2,45,NA,NA,NA
12.cph2,12.cph2.s,12.cph2.s.h.p.2,12,s,cph2,h,6,p.2,p,c,A.calendula,P.airoides,9.499553172,49.95175531,13.1,12.1,5.266666667,10.15555556,0.346687899,45,34,0,17,0.377777778,39,p.3,25,5,150,748
12.cph2,12.cph2.s,12.cph2.s.h.p.3,12,s,cph2,h,6,p.3,p,c,A.calendula,P.airoides,9.499553172,49.95175531,12.75,11.875,4.266666667,9.630555556,0.405926322,117,89,7,48,0.41025641,46,p.2,25,1,90,90
12.cph2,12.cph2.s,12.cph2.s.h.c.1,12,s,cph2,h,6,c.1,c,p,A.calendula,P.airoides,9.499553172,49.95175531,12.75,11.875,4.266666667,9.630555556,0.405926322,124,94,69,81.5,0.657258065,104,c.2,56,3,33,100
12.cph2,12.cph2.s,12.cph2.s.h.c.2,12,s,cph2,h,6,c.2,c,p,A.calendula,P.airoides,9.499553172,49.95175531,12.75,11.875,4.266666667,9.630555556,0.405926322,103,118,70,94,0.912621359,139,c.3,10,5,46,228
12.cph2,12.cph2.s,12.cph2.s.h.c.3,12,s,cph2,h,6,c.3,c,p,A.calendula,P.airoides,9.499553172,49.95175531,13.2,11.75,4.433333333,9.794444444,0.386762564,133,98,49,73.5,0.552631579,126,c.2,10,6,49,296
12.cpl,12.cpl.s,12.cpl.s.l.p.1,12,s,cpl,l,2,p.1,p,c,A.calendula,P.airoides,12.96165662,73.0973859,14.675,12.125,4.766666667,10.52222222,0.367750024,87,56,9,32.5,0.373563218,29,c.1,58,3,113,340
12.cpl,12.cpl.s,12.cpl.s.l.c.1,12,s,cpl,l,2,c.1,c,p,A.calendula,P.airoides,12.96165662,73.0973859,11.25,9.875,3.933333333,8.352777778,0.369495678,113,132,86,109,0.96460177,136,p.1,58,6,39,234
