Date.harvested,Plot.ID,Species,Plant.replicate,Plot.plant.rep,Waitzia.density.bin,Density.for.x,Waitzia.starting.density,Treatment,Treatment.col,Height.plant,Biomass.plant,Notes,Seed.mass.total,Total.flowercount.plant,Seedpred
19/12/2013,W17,W.acuminata,W.7,W17.W.7,NA,NA,NA,monoculture,1,180,0.228,,,11,0
19/12/2013,W17,W.acuminata,W.8,W17.W.8,NA,NA,NA,monoculture,1,152,0.1082,,,4,0
19/12/2013,W17,W.acuminata,W.9,W17.W.9,NA,NA,NA,monoculture,1,185,0.1182,,,5,0
7-Dec-13,W17,W.acuminata,W.2,W17.W.2,NA,NA,NA,monoculture,1,145,0.1756,,,9,0
7-Dec-13,W17,W.acuminata,W.4,W17.W.4,NA,NA,NA,monoculture,1,117,0.053,,,2,0
7-Dec-13,W17,W.acuminata,W.1,W17.W.1,NA,NA,NA,monoculture,1,145,0.0655,,,NA,NA
7-Dec-13,W17,W.acuminata,W.3,W17.W.3,NA,NA,NA,monoculture,1,135,0.073,,,2,0
19/12/2013,W18,W.acuminata,W.10,W18.W.10,NA,NA,NA,monoculture,1,217,0.2247,,,10,0
19/12/2013,W18,W.acuminata,W.11,W18.W.11,NA,NA,NA,monoculture,1,206,0.2517,,,12,1
19/12/2013,W18,W.acuminata,W.12,W18.W.12,NA,NA,NA,monoculture,1,230,0.3477,,,10,0
19/12/2013,W18,W.acuminata,W.13,W18.W.13,NA,NA,NA,monoculture,1,181,0.1686,,,6,1
19/12/2013,W18,W.acuminata,W.14,W18.W.14,NA,NA,NA,monoculture,1,178,0.02267,,,NA,NA
19/12/2013,W18,W.acuminata,W.15,W18.W.15,NA,NA,NA,monoculture,1,146,0.1671,,,7,0
19/12/2013,W18,W.acuminata,W.16,W18.W.16,NA,NA,NA,monoculture,1,186,0.1523,,,9,1
19/12/2013,W18,W.acuminata,W.17,W18.W.17,NA,NA,NA,monoculture,1,186,0.0962,,,4,0
19/12/2013,W18,W.acuminata,W.18,W18.W.18,NA,NA,NA,monoculture,1,160,0.1215,,,5,1
19/12/2013,W18,W.acuminata,W.19,W18.W.19,NA,NA,NA,monoculture,1,152,0.1123,,,8,1
19/12/2013,W18,W.acuminata,W.20,W18.W.20,NA,NA,NA,monoculture,1,156,0.0544,,,4,0
19/12/2013,W18,W.acuminata,W.21,W18.W.21,NA,NA,NA,monoculture,1,145,0.0509,,,4,0
19/12/2013,W18,W.acuminata,W.22,W18.W.22,NA,NA,NA,monoculture,1,185,0.4894,,,20,1
19/12/2013,W18,W.acuminata,W.4,W18.W.4,NA,NA,NA,monoculture,1,139,0.1224,,,11,1
19/12/2013,W18,W.acuminata,W.5,W18.W.5,NA,NA,NA,monoculture,1,100,0.0475,,,4,1
19/12/2013,W18,W.acuminata,W.6,W18.W.6,NA,NA,NA,monoculture,1,150,0.1132,,,8,1
19/12/2013,W18,W.acuminata,W.7,W18.W.7,NA,NA,NA,monoculture,1,90,0.0265,,,2,0
19/12/2013,W18,W.acuminata,W.8,W18.W.8,NA,NA,NA,monoculture,1,180,0.2752,,,12,1
19/12/2013,W18,W.acuminata,W.9,W18.W.9,NA,NA,NA,monoculture,1,216,0.4511,,,22,1
7-Dec-13,W18,W.acuminata,W.2,W18.W.2,NA,NA,NA,monoculture,1,163,0.2157,,,8,1
7-Dec-13,W18,W.acuminata,W.3,W18.W.3,NA,NA,NA,monoculture,1,130,0.2828,,,10,1
19/12/2013,W19,W.acuminata,W.1,W19.W.1,low,1,5,monoculture,1,223,1.85708,PINK,,37,1
19/12/2013,W19,W.acuminata,W.2,W19.W.2,low,1,5,monoculture,1,244,1.9194,,,39,1
19/12/2013,W19,W.acuminata,W.3,W19.W.3,low,1,5,monoculture,1,232,0.5631,,,14,1
19/12/2013,W19,W.acuminata,W.4,W19.W.4,low,1,5,monoculture,1,193,0.819,,,21,0
19/12/2013,W19,W.acuminata,W.5,W19.W.5,low,1,5,monoculture,1,212,0.6106,,,17,0
19/12/2013,W21,W.acuminata,W.1,W21.W.1,high,2,23,monoculture,1,207,0.5218,,,17,0
19/12/2013,W21,W.acuminata,W.10,W21.W.10,high,2,23,monoculture,1,147,0.1922,,,9,1
19/12/2013,W21,W.acuminata,W.11,W21.W.11,high,2,23,monoculture,1,165,0.1371,,,6,0
19/12/2013,W21,W.acuminata,W.12,W21.W.12,high,2,23,monoculture,1,172,0.4348,,,18,1
19/12/2013,W21,W.acuminata,W.13,W21.W.13,high,2,23,monoculture,1,147,0.1212,,,8,1
19/12/2013,W21,W.acuminata,W.14,W21.W.14,high,2,23,monoculture,1,136,0.1136,,,5,0
19/12/2013,W21,W.acuminata,W.15,W21.W.15,high,2,23,monoculture,1,128,0.0898,,,5,0
19/12/2013,W21,W.acuminata,W.16,W21.W.16,high,2,23,monoculture,1,123,0.088,,,4,0
19/12/2013,W21,W.acuminata,W.2,W21.W.2,high,2,23,monoculture,1,176,0.9812,,,33,1
19/12/2013,W21,W.acuminata,W.3,W21.W.3,high,2,23,monoculture,1,205,0.6955,,,34,1
19/12/2013,W21,W.acuminata,W.4,W21.W.4,high,2,23,monoculture,1,185,0.6278,,,22,0
19/12/2013,W21,W.acuminata,W.5,W21.W.5,high,2,23,monoculture,1,195,1.3228,,,45,1
19/12/2013,W21,W.acuminata,W.6,W21.W.6,high,2,23,monoculture,1,177,0.5349,,,19,0
19/12/2013,W21,W.acuminata,W.7,W21.W.7,high,2,23,monoculture,1,155,0.2321,,,7,1
19/12/2013,W21,W.acuminata,W.8,W21.W.8,high,2,23,monoculture,1,145,0.2075,,,7,0
19/12/2013,W21,W.acuminata,W.9,W21.W.9,high,2,23,monoculture,1,152,0.2749,,,12,1
7/12/2013,WA1,W.acuminata,W.1,WA1.W.1,low,1,9,mixture,152,280,1.0807,"GREEN, SEEDS",0.0807,35,1
7/12/2013,WA1,W.acuminata,W.2,WA1.W.2,low,1,9,mixture,152,210,1.063,,,34,0
7/12/2013,WA1,W.acuminata,W.3,WA1.W.3,low,1,9,mixture,152,245,1.6332,,,40,1
8/12/2013,WA1,W.acuminata,W.4,WA1.W.4,low,1,9,mixture,152,202,0.6818,,,22,0
7/12/2013,WA1,W.acuminata,W.5,WA1.W.5,low,1,9,mixture,152,226,0.4493,,,18,1
7/12/2013,WA1,W.acuminata,W.6,WA1.W.6,low,1,9,mixture,152,230,0.83,,,28,1
7/12/2013,WA1,W.acuminata,W.7,WA1.W.7,low,1,9,mixture,152,218,1.1249,,,31,1
8/12/2013,WA1,W.acuminata,W.8,WA1.W.8,low,1,9,mixture,152,207,0.566,,,24,1
7/12/2013,WA1,W.acuminata,W.9,WA1.W.9,low,1,9,mixture,152,210,0.6382,,,27,1
7/12/2013,WA1,W.acuminata,W.10,WA1.W.10,low,1,9,mixture,152,218,0.4291,,,19,0
3/11/2013,WA1,A.cupaniana,A.1,WA1.A.1,low,1,9,NA,NA,142,0.0086,,NA,NA,NA
3/11/2013,WA1,A.cupaniana,A.2,WA1.A.2,low,1,9,NA,NA,115,0.0041,,NA,NA,NA
3/11/2013,WA1,A.cupaniana,A.3,WA1.A.3,low,1,9,NA,NA,152,0.0066,,NA,NA,NA
3/11/2013,WA1,A.cupaniana,A.4,WA1.A.4,low,1,9,NA,NA,NA,NA,,NA,NA,NA
3/11/2013,WA1,A.cupaniana,A.5,WA1.A.5,low,1,9,NA,NA,NA,NA,,NA,NA,NA
3/11/2013,WA1,A.cupaniana,A.6,WA1.A.6,low,1,9,NA,NA,132,0.0056,,NA,NA,NA
3/11/2013,WA1,A.cupaniana,A.7,WA1.A.7,low,1,9,NA,NA,173,0.0084,,NA,NA,NA
3/11/2013,WA1,A.cupaniana,A.8,WA1.A.8,low,1,9,NA,NA,116,0.0037,,NA,NA,NA
3/11/2013,WA1,A.cupaniana,A.9,WA1.A.9,low,1,9,NA,NA,97,0.0019,,NA,NA,NA
3/11/2013,WA1,A.cupaniana,A.10,WA1.A.10,low,1,9,NA,NA,173,0.0122,,NA,NA,NA
3/11/2013,WA1,A.cupaniana,A.11,WA1.A.11,low,1,9,NA,NA,95,0.0021,,NA,NA,NA
3/11/2013,WA1,A.cupaniana,A.12,WA1.A.12,low,1,9,NA,NA,148,0.0123,,NA,NA,NA
3/11/2013,WA1,A.cupaniana,A.13,WA1.A.13,low,1,9,NA,NA,183,0.0088,,NA,NA,NA
3/11/2013,WA1,A.cupaniana,A.14,WA1.A.14,low,1,9,NA,NA,183,0.0107,,NA,NA,NA
3/11/2013,WA1,A.cupaniana,A.15,WA1.A.15,low,1,9,NA,NA,200,0.0183,,NA,NA,NA
