yrsq,litter.cover,edge
2011.yandi.1.12,5,0
2011.yandi.1.13,0,0
2011.yandi.1.14,0,0
2011.yandi.1.15,7,0
2011.yandi.2.1,88,0
2011.yandi.2.2,15,0
2011.yandi.2.3,1,0
2011.yandi.2.4,4,0
2011.yandi.2.5,7,0
2011.yandi.2.6,10,0
2011.yandi.2.7,5,0
2011.yandi.2.8,26,0
2011.yandi.2.9,18,0
2011.yandi.2.10,16,0
2011.yandi.2.11,5,0
2011.yandi.2.12,2,0
2011.yandi.2.13,7,0
2011.yandi.2.14,1,0
2011.yandi.2.15,1,0
2011.yandi.3.1,2,0
2011.yandi.3.2,5,0
2011.yandi.3.3,1,0
2011.yandi.3.4,6,0
2011.yandi.3.5,11,0
2011.yandi.3.6,6,0
2011.yandi.3.7,8,0
2011.yandi.3.8,7,0
2011.yandi.3.9,70,0
2011.yandi.3.10,2,0
2011.yandi.3.11,2,0
2011.yandi.3.12,5,0
2011.yandi.3.13,5,0
2011.yandi.3.14,30,0
2011.yandi.3.15,0,0
