"","Mean_lat_id","individual_id","Mean_lat_mm","date_collected","notes"
"1",1,"SHAD1_1",7.5,2015,NA
"2",2,"SHAD1_2",5,2015,NA
"3",3,"SHAD1_3",95,2015,NA
"4",4,"SHAD1_4",20,2015,NA
"5",5,"SHAD1_5",8.5,2015,NA
"6",6,"SHAD1_6",70,2015,NA
"7",7,"SHAD1_7",NA,2015,NA
"8",8,"SHAD1_8",120,2015,NA
"9",9,"SHAD1_9",15,2015,NA
"10",10,"SHAD1_10",25,2015,NA
"11",11,"SHAD1_11",35,2015,NA
"12",12,"SHAD1_12",NA,2015,NA
"13",13,"SHAD1_13",57.5,2015,NA
"14",14,"SHAD1_14",20,2015,NA
"15",15,"SHAD1_15",95,2015,NA
"16",16,"SHAD1_16",135,2015,NA
"17",17,"SHAD1_17",125,2015,NA
"18",18,"SHAD1_18",10,2015,NA
"19",19,"SHAD1_19",135,2015,NA
"20",20,"SHAD1_20",57.5,2015,NA
"21",21,"SHAD1_21",8.5,2015,NA
"22",22,"SHAD1_22",110,2015,NA
"23",23,"SHAD1_23",45,2015,NA
"24",24,"SHAD1_24",3.5,2015,NA
"25",25,"SHAD1_25",15,2015,NA
"26",26,"SHAD1_26",80,2015,NA
"27",27,"SHAD1_27",135,2015,NA
"28",28,"SHAD1_28",6,2015,NA
"29",29,"SHAD1_29",17.5,2015,NA
"30",30,"SHAD1_30",87.5,2015,NA
"31",31,"SHAD1_31",100,2015,NA
"32",32,"SHAD1_32",22.5,2015,NA
"33",33,"SHAD1_33",10.5,2015,NA
"34",34,"SHAD1_34",155,2015,NA
"35",35,"SHAD1_35",10,2015,NA
"36",36,"SHAD1_36",85,2015,NA
"37",37,"SHAD1_37",17.5,2015,NA
"38",38,"SHAD1_38",27.5,2015,NA
"39",39,"SHAD1_39",145,2015,NA
"40",40,"SHAD1_40",12.5,2015,NA
"41",41,"SHAD1_41",110,2015,NA
"42",42,"SHAD1_42",85,2015,NA
"43",43,"SHAD1_43",220,2015,NA
"44",44,"SHAD1_44",140,2015,NA
"45",45,"SHAD1_45",35,2015,NA
"46",46,"SHAD1_46",32.5,2015,NA
"47",47,"SHAD1_47",122.5,2015,NA
"48",48,"SHAD1_48",NA,2015,NA
"49",49,"SHAD1_49",4,2015,NA
"50",50,"SHAD1_50",3.5,2015,NA
"51",51,"SHAD1_51",85,2015,NA
"52",52,"SHAD1_52",10,2015,NA
"53",53,"SHAD1_53",15,2015,NA
"54",54,"SHAD1_54",180,2015,NA
"55",55,"SHAD1_55",42.5,2015,NA
"56",56,"SHAD1_56",32.5,2015,NA
"57",57,"SHAD1_57",12.5,2015,NA
"58",58,"SHAD1_58",35,2015,NA
"59",59,"SHAD1_59",7.5,2015,NA
"60",60,"SHAD1_60",22.5,2015,NA
"61",61,"SHAD1_61",10,2015,NA
"62",62,"SHAD1_62",40,2015,NA
"63",63,"SHAD1_63",72.5,2015,NA
"64",64,"SHAD1_64",6,2015,NA
"65",65,"SHAD1_65",107.5,2015,NA
"66",66,"SHAD1_66",190,2015,NA
"67",67,"SHAD1_67",17.5,2015,NA
"68",68,"SHAD1_68",13.5,2015,NA
"69",69,"SHAD1_69",65,2015,NA
"70",70,"SHAD1_70",40,2015,NA
"71",71,"SHAD1_71",170,2015,NA
"72",72,"SHAD1_72",85,2015,NA
"73",73,"SHAD1_73",7.5,2015,NA
"74",74,"SHAD1_74",115,2015,NA
"75",75,"SHAD1_75",32.5,2015,NA
"76",76,"SHAD1_76",40,2015,NA
"77",77,"SHAD1_77",155,2015,NA
"78",78,"SHAD1_78",112.5,2015,NA
"79",79,"SHAD1_79",15,2015,NA
"80",80,"SHAD1_80",20,2015,NA
"81",81,"SHAD1_81",72.5,2015,NA
"82",82,"SHAD1_82",97.5,2015,NA
"83",83,"SHAD1_83",62.5,2015,NA
"84",84,"SHAD1_84",16.5,2015,NA
"85",85,"SHAD1_85",6,2015,NA
"86",86,"SHAD1_86",90,2015,NA
"87",87,"SHAD1_87",10,2015,NA
"88",88,"SHAD1_88",140,2015,NA
"89",89,"SHAD1_89",15,2015,NA
"90",90,"SHAD1_90",12.5,2015,NA
"91",91,"SHAD1_91",120,2015,NA
"92",92,"SHAD1_92",165,2015,NA
"93",93,"SHAD1_93",15,2015,NA
"94",94,"SHAD1_94",15,2015,NA
"95",95,"SHAD1_95",60,2015,NA
"96",96,"SHAD1_96",20,2015,NA
"97",97,"SHAD1_97",20,2015,NA
"98",98,"SHAD1_98",105,2015,NA
"99",99,"SHAD1_99",50,2015,NA
"100",100,"SHAD1_100",38.5,2015,NA
"101",101,"SHAD1_101",175,2015,NA
"102",102,"SHAD1_102",165,2015,NA
"103",103,"SHAD1_103",32.5,2015,NA
"104",104,"SHAD1_104",11.5,2015,NA
"105",105,"SHAD1_105",37.5,2015,NA
"106",106,"SHAD1_106",22.5,2015,NA
"107",107,"SHAD1_107",35,2015,NA
"108",108,"SHAD1_108",115,2015,NA
"109",109,"SHAD1_109",62.5,2015,NA
"110",110,"SHAD1_110",50,2015,NA
"111",111,"SHAD1_111",45,2015,NA
"112",112,"SHAD1_112",3,2015,NA
"113",113,"SHAD1_113",5,2015,NA
"114",114,"SHAD1_114",225,2015,NA
"115",115,"SHAD1_115",125,2015,NA
"116",116,"SHAD1_116",10,2015,NA
"117",117,"SHAD1_117",17.5,2015,NA
"118",118,"SHAD1_118",27.5,2015,NA
"119",119,"SHAD1_119",70,2015,NA
"120",120,"SHAD1_120",27.5,2015,NA
"121",121,"SHAD1_121",20,2015,NA
"122",122,"SHAD1_122",22.5,2015,NA
"123",123,"SHAD1_123",6,2015,NA
"124",124,"SHAD1_124",25,2015,NA
"125",125,"SHAD1_125",130,2015,NA
"126",126,"SHAD1_126",45,2015,NA
"127",127,"SHAD1_127",25,2015,NA
"128",128,"SHAD1_128",14,2015,NA
"129",129,"SHAD1_129",120,2015,NA
"130",130,"SHAD1_130",20,2015,NA
"131",131,"SHAD1_131",14,2015,NA
"132",132,"SHAD1_132",10,2015,NA
"133",133,"SHAD1_133",120,2015,NA
"134",134,"SHAD1_134",37.5,2015,NA
"135",135,"SHAD1_135",2.5,2015,NA
"136",136,"SHAD1_136",10,2015,NA
"137",137,"SHAD1_137",55,2015,NA
"138",138,"SHAD1_138",17.5,2015,NA
"139",139,"SHAD1_139",87.5,2015,NA
"140",140,"SHAD1_140",27.5,2015,NA
"141",141,"SHAD1_141",65,2015,NA
"142",142,"SHAD1_142",35,2015,NA
"143",143,"SHAD1_143",125,2015,NA
"144",144,"SHAD1_144",27.5,2015,NA
"145",145,"SHAD1_145",52.5,2015,NA
"146",146,"SHAD1_146",17.5,2015,NA
"147",147,"SHAD1_147",27.5,2015,NA
"148",148,"SHAD1_148",97.5,2015,NA
"149",149,"SHAD1_149",132.5,2015,NA
"150",150,"SHAD1_150",27,2015,NA
"151",151,"SHAD1_151",55,2015,NA
"152",152,"SHAD1_152",190,2015,NA
"153",153,"SHAD1_153",8,2015,NA
"154",154,"SHAD1_154",130,2015,NA
"155",155,"SHAD1_155",205,2015,NA
"156",156,"SHAD1_156",70,2015,NA
"157",157,"SHAD1_157",65,2015,NA
"158",158,"SHAD1_158",32.5,2015,NA
"159",159,"SHAD1_159",57.5,2015,NA
"160",160,"SHAD1_160",57.5,2015,NA
"161",161,"SHAD1_161",5,2015,NA
"162",162,"SHAD1_162",15,2015,NA
"163",163,"SHAD1_163",220,2015,NA
"164",164,"SHAD1_164",25,2015,NA
"165",165,"SHAD1_165",2,2015,NA
"166",166,"SHAD1_166",14.5,2015,NA
"167",167,"SHAD1_167",55,2015,NA
"168",168,"SHAD1_168",20,2015,NA
"169",169,"SHAD1_169",12.5,2015,NA
"170",170,"SHAD1_170",82.5,2015,NA
"171",171,"SHAD1_171",3,2015,NA
"172",172,"SHAD1_172",10,2015,NA
"173",173,"SHAD1_173",135,2015,NA
"174",174,"SHAD1_174",42.5,2015,NA
"175",175,"SHAD1_175",95,2015,NA
"176",176,"SHAD1_176",45,2015,NA
"177",177,"SHAD1_177",55,2015,NA
"178",178,"SHAD1_178",175,2015,NA
"179",179,"SHAD1_179",45,2015,NA
"180",180,"SHAD1_180",50,2015,NA
"181",181,"SHAD1_181",25,2015,NA
"182",182,"SHAD1_182",15,2015,NA
"183",183,"SHAD1_183",245,2015,NA
"184",184,"SHAD1_184",135,2015,NA
"185",185,"SHAD1_185",9.5,2015,NA
"186",186,"SHAD1_186",12.5,2015,NA
"187",187,"SHAD1_187",107.5,2015,NA
"188",188,"SHAD1_188",15,2015,NA
"189",189,"SHAD1_189",52.5,2015,NA
"190",190,"SHAD1_190",85,2015,NA
"191",191,"SHAD1_191",23,2015,NA
"192",192,"SHAD1_192",205,2015,NA
"193",193,"SHAD1_193",130,2015,NA
"194",194,"SHAD1_194",12.5,2015,NA
"195",195,"SHAD1_195",2.5,2015,NA
"196",196,"SHAD1_196",32.5,2015,NA
"197",197,"SHAD1_197",70,2015,NA
"198",198,"SHAD1_198",5,2015,NA
"199",199,"SHAD1_199",22.5,2015,NA
"200",200,"SHAD1_200",5,2015,NA
"201",201,"SHAD1_201",NA,2015,NA
"202",202,"SHAD1_202",80,2015,NA
"203",203,"SHAD1_203",5.5,2015,NA
"204",204,"SHAD1_204",12.5,2015,NA
"205",205,"SHAD1_205",42.5,2015,NA
"206",206,"SHAD1_206",NA,2015,NA
"207",207,"SHAD1_207",55,2015,NA
"208",208,"SHAD1_208",100,2015,NA
"209",209,"SHAD1_209",87.5,2015,NA
"210",210,"SHAD1_210",102.5,2015,NA
"211",211,"SHAD1_211",122.5,2015,NA
"212",212,"SHAD1_212",62.5,2015,NA
"213",213,"SHAD1_213",50,2015,NA
"214",214,"SHAD1_214",90,2015,NA
"215",215,"SHAD1_215",40,2015,NA
"216",216,"SHAD1_216",95,2015,NA
"217",217,"SHAD1_217",45,2015,NA
"218",218,"SHAD1_218",28.5,2015,NA
"219",219,"SHAD1_219",32.5,2015,NA
