"","Near_log_id","plot_id","Log_near","date_collected","notes"
"356",356,"6I",1,2015,NA
"357",357,"6I",1,2015,NA
"358",358,"6I",1,2015,NA
"359",359,"6J",1,2015,NA
"360",360,"6J",1,2015,NA
"361",361,"6J",1,2015,NA
"362",362,"6J",1,2015,NA
"363",363,"6K",1,2015,NA
"364",364,"6K",1,2015,NA
"365",365,"6K",1,2015,NA
"366",366,"6K",1,2015,NA
"367",367,"6L",1,2015,NA
"368",368,"6L",1,2015,NA
"369",369,"6M",0,2015,NA
"370",370,"6M",0,2015,NA
"371",371,"6N",0,2015,NA
"372",372,"6N",0,2015,NA
"373",373,"6O",1,2015,NA
"374",374,"10C",0,2015,NA
"375",375,"10C",0,2015,NA
"376",376,"10G",0,2015,NA
"377",377,"12E",0,2015,NA
"378",378,"12I",1,2015,NA
"379",379,"12I",1,2015,NA
"380",380,"12L",0,2015,NA
"381",381,"15F",1,2015,NA
"382",382,"2E",1,2015,NA
"383",383,"2E",1,2015,NA
"384",384,"2G",1,2015,NA
"385",385,"2G",1,2015,NA
"386",386,"6L",1,2015,NA
"387",387,"6L",1,2015,NA
"388",388,"6O",1,2015,NA
