Plot,Class.Litt,Class.Bare,Class.Woody,Per.Litt,Per.Bare,Per.Woody,Lat,Long,Elevation,Name,Density,Block,Num.Indivs,Num.Species,Num.Focal.Species,Focals,Beta.Diversity,Soil.P,Soil.Water,Canopy.Cover,UTM.Long,UTM.Lat,Dist.to.Lat.edge,Dist.to.Long.edge,NOTES
27,2,2,2,10.5,10.5,10.5,-29.47893326,116.2015339,305.5825195,H027D060,60,2,0,16,3,ARCA.PEAI.POCA,0,14.7,24.104111656,20.7,422589.363315658,-3261314.66280124,140.2336153311,649.6595394701,
28,1,1,1,3.1,3.1,3.1,-29.47882237,116.2017691,307.0244141,H028D100,100,2,0,13,2,PEAI.POCA,0,9.6,21.875,22.9,422612.082285726,-3261302.2192706,152.577833666,672.4529665339,
29,T,1,1,0.5,3.1,3.1,-29.47888557,116.2015774,307.7454834,H029D100,100,2,0,7,4,ARCA.PEAI.POCA.VERO,0,7.8,21.8737594283,1.4,422593.544507553,-3261309.34958897,145.5424418475,653.8753321391,
30,1,2,T,3.1,10.5,0.5,-29.47894558,116.2015997,307.7454834,H030D100,100,2,0,13,4,ARCA.PEAI.POCA.VERO,0,6.8,22.433460076,3.6,422595.752148132,-3261315.98416759,138.8621592047,656.0359864779,
31,1,T,1,3.1,0.5,3.1,-29.47896578,116.2016381,307.9857178,H031D060,60,2,214,13,4,ARCA.PEAI.POCA.VERO,0,8.3,15.0743099788,3.5,422599.490470255,-3261318.19689707,136.6135054909,659.757110273,
32,T,1,T,0.5,3.1,0.5,-29.47888657,116.2016176,309.4277344,H032D030,30,2,0,10,3,PEAI.POCA.VERO,0,10.8,19.8632891033,5.3,422597.442757468,-3261309.4336658,145.431122357,657.771017078,
33,1,1,2,3.1,3.1,10.5,-29.47887459,116.2017669,309.9083252,H033D100,100,2,0,12,2,POCA.VERO,0,10.2,16.7218543046,33.2,422611.908662376,-3261308.0069678,146.7647298568,672.239423012,
34,4,T,1,40.5,0.5,3.1,-29.47883335,116.2017425,310.3890381,H034D060,60,2,0,18,2,PEAI.POCA,0,13.8,24.8685199098,11.2,422609.511689876,-3261303.45359126,151.3555456568,669.8751462884,
35,T,T,T,0.5,0.5,0.5,-29.47887082,116.2016004,309.9083252,H035D060,60,2,0,16,4,ARCA.PEAI.POCA.VERO,0,9.6,18.7271990272,1.9,422595.763206674,-3261307.69992345,147.1844043369,656.1043057981,
36,2,T,2,10.5,0.5,10.5,-29.4789678,116.2015118,310.1486816,H036D030,30,2,0,13,4,ARCA.PEAI.POCA.VERO,0,17.1,20.862745098,13.7,422587.24691562,-3261318.5046998,136.3886401198,647.5176586101,
37,4,1,2,40.5,3.1,10.5,-29.47893376,116.2017099,309.9083252,H037D060,60,2,0,13,3,PEAI.POCA.VERO,0,10.4,23.4526472782,27.5,422606.427325562,-3261314.60118851,140.1779555862,666.7152916225,
38,T,2,3,0.5,10.5,23,-29.4788973,116.2016295,310.1486816,H038D030,30,2,152,12,4,ARCA.PEAI.POCA.VERO,0,16.7,17.4667204518,11,422598.604645213,-3261310.6146912,144.2366642206,658.9241494971,
39,6,1,1,85.5,3.1,3.1,-29.47885514,116.2014796,310.1486816,H039D030,30,2,0,10,2,ARCA.POCA,0,19.3,14.7022074136,29.2,422584.039427615,-3261306.0428248,148.9298939522,644.3979479483,
