"site","plot","treatment","species","index","colour","seed.count","flower.collect","flower.head","flower.herbivory","flower.total","flower.mult","standard.seed","total.seed","total.seed.int"
"Bendering","B.Hygl.N6","N","Hypochaeris.glabra",6,"R",72,1,4,0,4,4,72,288,288
"Bendering","B.Hygl.N6","N","Hypochaeris.glabra",6,"G",34,1,5,2,7,7,34,238,238
"Bendering","B.Hygl.N6","N","Hypochaeris.glabra",6,"B",28,1,4,0,4,4,28,112,112
"Bendering","B.Hygl.N7","N","Hypochaeris.glabra",7,"R",28,1,9,0,9,9,28,252,252
"Bendering","B.Hygl.N7","N","Hypochaeris.glabra",7,"G",34,1,3,0,3,3,34,102,102
"Bendering","B.Hygl.N7","N","Hypochaeris.glabra",7,"B",38,1,10,0,10,10,38,380,380
"Bendering","B.Hygl.N8","N","Hypochaeris.glabra",8,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bendering","B.Hygl.N8","N","Hypochaeris.glabra",8,"G",36,1,9,0,9,9,36,324,324
"Bendering","B.Hygl.N8","N","Hypochaeris.glabra",8,"B",30,1,9,1,10,10,30,300,300
"Bendering","B.Hygl.N9","N","Hypochaeris.glabra",9,"R",13,1,4,0,4,4,13,52,52
"Bendering","B.Hygl.N9","N","Hypochaeris.glabra",9,"G",15,1,6,1,7,7,15,105,105
"Bendering","B.Hygl.N9","N","Hypochaeris.glabra",9,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bendering","B.Hygl.N10","N","Hypochaeris.glabra",10,"R",54,1,5,0,5,5,54,270,270
"Bendering","B.Hygl.N10","N","Hypochaeris.glabra",10,"G",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bendering","B.Hygl.N10","N","Hypochaeris.glabra",10,"B",42,1,8,0,8,8,42,336,336
"Bendering","B.Hygl.N11","N","Hypochaeris.glabra",11,"R",13,1,4,0,4,4,13,52,52
"Bendering","B.Hygl.N11","N","Hypochaeris.glabra",11,"G",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bendering","B.Hygl.N11","N","Hypochaeris.glabra",11,"B",17,1,3,0,3,3,17,51,51
"Bendering","B.Hygl.N12","N","Hypochaeris.glabra",12,"R",15,1,2,0,2,2,15,30,30
"Bendering","B.Hygl.N12","N","Hypochaeris.glabra",12,"G",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bendering","B.Hygl.N12","N","Hypochaeris.glabra",12,"B",32,1,2,0,2,2,32,64,64
"Bendering","B.Hygl.N13","N","Hypochaeris.glabra",13,"R",43,1,5,0,5,5,43,215,215
"Bendering","B.Hygl.N13","N","Hypochaeris.glabra",13,"G",45,1,2,0,2,2,45,90,90
"Bendering","B.Hygl.N13","N","Hypochaeris.glabra",13,"B",22,1,5,1,6,6,22,132,132
"Bendering","B.Hygl.N14","N","Hypochaeris.glabra",14,"R",42,1,6,0,6,6,42,252,252
"Bendering","B.Hygl.N14","N","Hypochaeris.glabra",14,"G",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bendering","B.Hygl.N14","N","Hypochaeris.glabra",14,"B",54,1,4,0,4,4,54,216,216
"Bendering","B.Hygl.N15","N","Hypochaeris.glabra",15,"R",38,1,7,0,7,7,38,266,266
"Bendering","B.Hygl.N15","N","Hypochaeris.glabra",15,"G",NA,NA,1,0,1,1,NA,NA,NA
"Bendering","B.Hygl.N15","N","Hypochaeris.glabra",15,"B",58,1,8,0,8,8,58,464,464
"Bendering","B.Tror.E1","E","Trachymene.ornata",1,"R",74,1,20,0,20,1,74,74,74
"Bendering","B.Tror.E1","E","Trachymene.ornata",1,"G",64,1,5,0,5,1,64,64,64
"Bendering","B.Tror.E1","E","Trachymene.ornata",1,"B",157,1,NA,NA,NA,1,157,157,157
"Bendering","B.Tror.E2","E","Trachymene.ornata",2,"R",63,1,50,0,50,1,63,63,63
"Bendering","B.Tror.E2","E","Trachymene.ornata",2,"G",56,1,15,0,15,1,56,56,56
"Bendering","B.Tror.E2","E","Trachymene.ornata",2,"B",90,1,NA,NA,NA,1,90,90,90
"Bendering","B.Tror.E3","E","Trachymene.ornata",3,"R",63,1,2,0,2,1,63,63,63
"Bendering","B.Tror.E3","E","Trachymene.ornata",3,"G",51,1,10,0,10,1,51,51,51
"Bendering","B.Tror.E3","E","Trachymene.ornata",3,"B",54,1,5,0,5,1,54,54,54
"Bendering","B.Tror.E4","E","Trachymene.ornata",4,"R",34,1,10,0,10,1,34,34,34
"Bendering","B.Tror.E4","E","Trachymene.ornata",4,"G",47,1,10,0,10,1,47,47,47
"Bendering","B.Tror.E4","E","Trachymene.ornata",4,"B",59,1,10,0,10,1,59,59,59
"Bendering","B.Tror.E5","E","Trachymene.cyanopetala",5,"R",100,1,5,0,5,1,100,100,100
"Bendering","B.Tror.E5","E","Trachymene.cyanopetala",5,"G",410,1,5,0,5,1,410,410,410
"Bendering","B.Tror.E5","E","Trachymene.cyanopetala",5,"B",90,1,5,0,5,1,90,90,90
"Bendering","B.Tror.E6","E","Trachymene.ornata",6,"R",241,1,10,0,10,1,241,241,241
"Bendering","B.Tror.E6","E","Trachymene.ornata",6,"G",140,1,15,0,15,1,140,140,140
"Bendering","B.Tror.E6","E","Trachymene.ornata",6,"B",126,1,10,0,10,1,126,126,126
"Bendering","B.Tror.E7","E","Trachymene.ornata",7,"R",20,1,20,0,20,1,20,20,20
"Bendering","B.Tror.E7","E","Trachymene.ornata",7,"G",80,1,10,0,10,1,80,80,80
"Bendering","B.Tror.E7","E","Trachymene.ornata",7,"B",NA,NA,15,0,15,1,NA,NA,NA
"Bendering","B.Tror.E8","E","Trachymene.cyanopetala",8,"R",35,1,25,0,25,1,35,35,35
"Bendering","B.Tror.E8","E","Trachymene.cyanopetala",8,"G",60,1,15,0,15,1,60,60,60
"Bendering","B.Tror.E8","E","Trachymene.cyanopetala",8,"B",35,1,10,0,10,1,35,35,35
"Bendering","B.Tror.E9","E","Trachymene.cyanopetala",9,"R",30,1,15,0,15,1,30,30,30
"Bendering","B.Tror.E9","E","Trachymene.cyanopetala",9,"G",30,1,15,0,15,1,30,30,30
"Bendering","B.Tror.E9","E","Trachymene.cyanopetala",9,"B",60,1,10,0,10,1,60,60,60
"Bendering","B.Tror.E10","E","Trachymene.cyanopetala",10,"R",150,1,10,0,10,1,150,150,150
"Bendering","B.Tror.E10","E","Trachymene.cyanopetala",10,"G",30,1,20,0,20,1,30,30,30
"Bendering","B.Tror.E10","E","Trachymene.cyanopetala",10,"B",120,1,5,0,5,1,120,120,120
"Bendering","B.Tror.E11","E","Trachymene.cyanopetala",11,"R",130,1,20,0,20,1,130,130,130
"Bendering","B.Tror.E11","E","Trachymene.cyanopetala",11,"G",100,1,20,0,20,1,100,100,100
"Bendering","B.Tror.E11","E","Trachymene.cyanopetala",11,"B",90,1,10,0,10,1,90,90,90
"Bendering","B.Tror.E12","E","Trachymene.cyanopetala",12,"R",110,1,30,0,30,1,110,110,110
"Bendering","B.Tror.E12","E","Trachymene.cyanopetala",12,"G",80,1,20,0,20,1,80,80,80
"Bendering","B.Tror.E12","E","Trachymene.cyanopetala",12,"B",40,1,3,0,3,1,40,40,40
"Bendering","B.Tror.E13","E","Trachymene.cyanopetala",13,"R",120,1,20,0,20,1,120,120,120
"Bendering","B.Tror.E13","E","Trachymene.cyanopetala",13,"G",30,1,15,0,15,1,30,30,30
"Bendering","B.Tror.E13","E","Trachymene.cyanopetala",13,"B",45,1,20,0,20,1,45,45,45
"Bendering","B.Tror.E14","E","Trachymene.cyanopetala",14,"R",150,1,30,0,30,1,150,150,150
"Bendering","B.Tror.E14","E","Trachymene.cyanopetala",14,"G",70,1,NA,NA,NA,1,70,70,70
"Bendering","B.Tror.E14","E","Trachymene.cyanopetala",14,"B",80,1,NA,NA,NA,1,80,80,80
"Bendering","B.Tror.E15","E","Trachymene.cyanopetala",15,"R",170,1,20,0,20,1,170,170,170
"Bendering","B.Tror.E15","E","Trachymene.cyanopetala",15,"G",50,1,30,0,30,1,50,50,50
"Bendering","B.Tror.E15","E","Trachymene.cyanopetala",15,"B",100,1,NA,NA,NA,1,100,100,100
"Bendering","B.Tror.M1","M","Trachymene.cyanopetala",1,"R",80,1,NA,0,NA,1,80,80,80
"Bendering","B.Tror.M1","M","Trachymene.cyanopetala",1,"G",80,1,NA,0,NA,1,80,80,80
"Bendering","B.Tror.M1","M","Trachymene.cyanopetala",1,"B",240,1,NA,0,NA,1,240,240,240
"Bendering","B.Tror.M2","M","Trachymene.cyanopetala",2,"R",100,1,NA,0,NA,1,100,100,100
"Bendering","B.Tror.M2","M","Trachymene.cyanopetala",2,"G",25,1,NA,0,NA,1,25,25,25
"Bendering","B.Tror.M2","M","Trachymene.cyanopetala",2,"B",130,1,NA,0,NA,1,130,130,130
"Bendering","B.Tror.M3","M","Trachymene.cyanopetala",3,"R",73,1,NA,0,NA,1,73,73,73
"Bendering","B.Tror.M3","M","Trachymene.cyanopetala",3,"G",80,1,NA,0,NA,1,80,80,80
"Bendering","B.Tror.M3","M","Trachymene.cyanopetala",3,"B",40,1,NA,0,NA,1,40,40,40
"Bendering","B.Tror.M4","M","Trachymene.ornata",4,"R",19,1,NA,0,NA,1,19,19,19
"Bendering","B.Tror.M4","M","Trachymene.ornata",4,"G",95,1,NA,0,NA,1,95,95,95
"Bendering","B.Tror.M4","M","Trachymene.ornata",4,"B",40,1,NA,0,NA,1,40,40,40
"Bendering","B.Tror.M5","M","Trachymene.cyanopetala",5,"R",50,1,NA,0,NA,1,50,50,50
"Bendering","B.Tror.M5","M","Trachymene.cyanopetala",5,"G",30,1,NA,0,NA,1,30,30,30
"Bendering","B.Tror.M5","M","Trachymene.cyanopetala",5,"B",70,1,NA,0,NA,1,70,70,70
"Bendering","B.Tror.N1","N","Trachymene.cyanopetala",1,"R",80,1,10,0,10,1,80,80,80
"Bendering","B.Tror.N1","N","Trachymene.cyanopetala",1,"G",35,1,10,0,10,1,35,35,35
"Bendering","B.Tror.N1","N","Trachymene.cyanopetala",1,"B",120,1,20,0,20,1,120,120,120
"Bendering","B.Tror.N2","N","Trachymene.ornata",2,"R",230,1,5,0,5,1,230,230,230
"Bendering","B.Tror.N2","N","Trachymene.ornata",2,"G",50,1,5,0,5,1,50,50,50
"Bendering","B.Tror.N2","N","Trachymene.ornata",2,"B",NA,NA,10,0,10,1,NA,NA,NA
"Bendering","B.Tror.N3","N","Trachymene.cyanopetala",3,"R",10,1,5,0,5,1,10,10,10
"Bendering","B.Tror.N3","N","Trachymene.cyanopetala",3,"G",120,1,5,0,5,1,120,120,120
"Bendering","B.Tror.N3","N","Trachymene.cyanopetala",3,"B",50,1,3,0,3,1,50,50,50
"Bendering","B.Tror.N4","N","Trachymene.cyanopetala",4,"R",30,1,5,0,5,1,30,30,30
"Bendering","B.Tror.N4","N","Trachymene.cyanopetala",4,"G",30,1,15,0,15,1,30,30,30
"Bendering","B.Tror.N4","N","Trachymene.cyanopetala",4,"B",20,1,5,0,5,1,20,20,20
"Bendering","B.Tror.N5","N","Trachymene.cyanopetala",5,"R",15,1,5,0,5,1,15,15,15
"Bendering","B.Tror.N5","N","Trachymene.cyanopetala",5,"G",10,1,5,0,5,1,10,10,10
"Bendering","B.Tror.N5","N","Trachymene.cyanopetala",5,"B",11,1,40,0,40,1,11,11,11
"Bendering","B.Tror.N6","N","Trachymene.cyanopetala",6,"R",90,1,50,0,50,1,90,90,90
"Bendering","B.Tror.N6","N","Trachymene.cyanopetala",6,"G",70,1,20,0,20,1,70,70,70
"Bendering","B.Tror.N6","N","Trachymene.cyanopetala",6,"B",NA,NA,40,0,40,1,NA,NA,NA
"Bendering","B.Tror.N7","N","Trachymene.cyanopetala",7,"R",65,1,10,0,10,1,65,65,65
"Bendering","B.Tror.N7","N","Trachymene.cyanopetala",7,"G",90,1,20,0,20,1,90,90,90
"Bendering","B.Tror.N7","N","Trachymene.cyanopetala",7,"B",30,1,NA,NA,NA,1,30,30,30
"Bendering","B.Tror.N8","N","Trachymene.cyanopetala",8,"R",90,1,10,0,10,1,90,90,90
"Bendering","B.Tror.N8","N","Trachymene.cyanopetala",8,"G",30,1,10,0,10,1,30,30,30
"Bendering","B.Tror.N8","N","Trachymene.cyanopetala",8,"B",160,1,10,0,10,1,160,160,160
"Bendering","B.Tror.N9","N","Trachymene.cyanopetala",9,"R",55,1,10,0,10,1,55,55,55
"Bendering","B.Tror.N9","N","Trachymene.cyanopetala",9,"G",30,1,10,0,10,1,30,30,30
"Bendering","B.Tror.N9","N","Trachymene.cyanopetala",9,"B",60,1,15,0,15,1,60,60,60
"Bendering","B.Tror.N10","N","Trachymene.cyanopetala",10,"R",25,1,15,0,15,1,25,25,25
"Bendering","B.Tror.N10","N","Trachymene.cyanopetala",10,"G",25,1,15,0,15,1,25,25,25
"Bendering","B.Tror.N10","N","Trachymene.cyanopetala",10,"B",15,1,20,0,20,1,15,15,15
"Bendering","B.Tror.N11","N","Trachymene.cyanopetala",11,"R",40,1,30,0,30,1,40,40,40
"Bendering","B.Tror.N11","N","Trachymene.cyanopetala",11,"G",11,1,20,0,20,1,11,11,11
"Bendering","B.Tror.N11","N","Trachymene.cyanopetala",11,"B",30,1,20,0,20,1,30,30,30
"Bendering","B.Tror.N12","N","Trachymene.cyanopetala",12,"R",90,1,10,0,10,1,90,90,90
"Bendering","B.Tror.N12","N","Trachymene.cyanopetala",12,"G",80,1,20,0,20,1,80,80,80
"Bendering","B.Tror.N12","N","Trachymene.cyanopetala",12,"B",15,1,15,0,15,1,15,15,15
"Bendering","B.Tror.N13","N","Trachymene.cyanopetala",13,"R",70,1,10,0,10,1,70,70,70
"Bendering","B.Tror.N13","N","Trachymene.cyanopetala",13,"G",40,1,20,0,20,1,40,40,40
"Bendering","B.Tror.N13","N","Trachymene.cyanopetala",13,"B",80,1,10,0,10,1,80,80,80
"Bendering","B.Tror.N14","N","Trachymene.ornata",14,"R",60,1,15,0,15,1,60,60,60
"Bendering","B.Tror.N14","N","Trachymene.ornata",14,"G",25,1,20,0,20,1,25,25,25
"Bendering","B.Tror.N14","N","Trachymene.ornata",14,"B",NA,NA,20,0,20,1,NA,NA,NA
"Bendering","B.Tror.N15","N","Trachymene.ornata",15,"R",30,1,40,0,40,1,30,30,30
"Bendering","B.Tror.N15","N","Trachymene.ornata",15,"G",60,1,10,0,10,1,60,60,60
"Bendering","B.Tror.N15","N","Trachymene.ornata",15,"B",NA,NA,20,0,20,1,NA,NA,NA
"Bendering","B.Waac.E1","E","Waitzia.acuminata",1,"R",NA,NA,60,0,60,60,NA,NA,NA
"Bendering","B.Waac.E1","E","Waitzia.acuminata",1,"G",40,1,10,0,10,10,40,400,400
"Bendering","B.Waac.E1","E","Waitzia.acuminata",1,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bendering","B.Waac.E2","E","Waitzia.acuminata",2,"R",59,1,30,0,30,30,59,1770,1770
"Bendering","B.Waac.E2","E","Waitzia.acuminata",2,"G",41,1,30,0,30,30,41,1230,1230
"Bendering","B.Waac.E2","E","Waitzia.acuminata",2,"B",46,1,5,0,5,5,46,230,230
"Bendering","B.Waac.E3","E","Waitzia.acuminata",3,"R",27,1,50,0,50,50,27,1350,1350
"Bendering","B.Waac.E3","E","Waitzia.acuminata",3,"G",26,1,20,0,20,20,26,520,520
"Bendering","B.Waac.E3","E","Waitzia.acuminata",3,"B",41,1,40,0,40,40,41,1640,1640
"Bendering","B.Waac.E4","E","Waitzia.acuminata",4,"R",37,1,15,0,15,15,37,555,555
"Bendering","B.Waac.E4","E","Waitzia.acuminata",4,"G",57,1,20,0,20,20,57,1140,1140
"Bendering","B.Waac.E4","E","Waitzia.acuminata",4,"B",62,1,5,0,5,5,62,310,310
"Bendering","B.Waac.E5","E","Waitzia.acuminata",5,"R",42,1,10,0,10,10,42,420,420
"Bendering","B.Waac.E5","E","Waitzia.acuminata",5,"G",41,1,20,0,20,20,41,820,820
"Bendering","B.Waac.E5","E","Waitzia.acuminata",5,"B",NA,NA,30,0,30,30,NA,NA,NA
"Bendering","B.Waac.E6","E","Waitzia.acuminata",6,"R",30,1,20,0,20,20,30,600,600
"Bendering","B.Waac.E6","E","Waitzia.acuminata",6,"G",40,1,5,0,5,5,40,200,200
"Bendering","B.Waac.E6","E","Waitzia.acuminata",6,"B",21,1,10,0,10,10,21,210,210
"Bendering","B.Waac.E7","E","Waitzia.acuminata",7,"R",36,1,30,0,30,30,36,1080,1080
"Bendering","B.Waac.E7","E","Waitzia.acuminata",7,"G",25,1,8,0,8,8,25,200,200
"Bendering","B.Waac.E7","E","Waitzia.acuminata",7,"B",43,1,5,0,5,5,43,215,215
"Bendering","B.Waac.E8","E","Waitzia.acuminata",8,"R",40,1,30,0,30,30,40,1200,1200
"Bendering","B.Waac.E8","E","Waitzia.acuminata",8,"G",42,1,15,0,15,15,42,630,630
"Bendering","B.Waac.E8","E","Waitzia.acuminata",8,"B",36,1,20,0,20,20,36,720,720
"Bendering","B.Waac.E9","E","Waitzia.acuminata",9,"R",37,1,20,0,20,20,37,740,740
"Bendering","B.Waac.E9","E","Waitzia.acuminata",9,"G",34,1,15,0,15,15,34,510,510
"Bendering","B.Waac.E9","E","Waitzia.acuminata",9,"B",NA,NA,15,0,15,15,NA,NA,NA
"Bendering","B.Waac.E10","E","Waitzia.acuminata",10,"R",52,1,10,0,10,10,52,520,520
"Bendering","B.Waac.E10","E","Waitzia.acuminata",10,"G",30,1,10,0,10,10,30,300,300
"Bendering","B.Waac.E10","E","Waitzia.acuminata",10,"B",43,1,20,0,20,20,43,860,860
"Bendering","B.Waac.E11","E","Waitzia.acuminata",11,"R",34,1,30,0,30,30,34,1020,1020
"Bendering","B.Waac.E11","E","Waitzia.acuminata",11,"G",NA,NA,0,0,0,0,NA,NA,NA
"Bendering","B.Waac.E11","E","Waitzia.acuminata",11,"B",51,1,10,0,10,10,51,510,510
"Bendering","B.Waac.E12","E","Waitzia.acuminata",12,"R",39,1,15,0,15,15,39,585,585
"Bendering","B.Waac.E12","E","Waitzia.acuminata",12,"G",37,1,30,0,30,30,37,1110,1110
"Bendering","B.Waac.E12","E","Waitzia.acuminata",12,"B",19,1,5,0,5,5,19,95,95
"Bendering","B.Waac.E13","E","Waitzia.acuminata",13,"R",47,1,10,0,10,10,47,470,470
"Bendering","B.Waac.E13","E","Waitzia.acuminata",13,"G",30,1,20,0,20,20,30,600,600
"Bendering","B.Waac.E13","E","Waitzia.acuminata",13,"B",41,1,20,0,20,20,41,820,820
"Bendering","B.Waac.E14","E","Waitzia.acuminata",14,"R",48,1,15,0,15,15,48,720,720
"Bendering","B.Waac.E14","E","Waitzia.acuminata",14,"G",36,1,10,0,10,10,36,360,360
"Bendering","B.Waac.E14","E","Waitzia.acuminata",14,"B",29,1,5,0,5,5,29,145,145
"Bendering","B.Waac.E15","E","Waitzia.acuminata",15,"R",NA,NA,15,0,15,15,NA,NA,NA
"Bendering","B.Waac.E15","E","Waitzia.acuminata",15,"G",NA,NA,30,0,30,30,NA,NA,NA
"Bendering","B.Waac.E15","E","Waitzia.acuminata",15,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bendering","B.Waac.M1","M","Waitzia.acuminata",1,"R",42,1,22,0,22,22,42,924,924
"Bendering","B.Waac.M1","M","Waitzia.acuminata",1,"G",23,1,9,0,9,9,23,207,207
