Site,Block,Plot.ID,CSBP.Label.2013,CSBP.Label.2012,Tree.species,Tree.trtmnt,Tree.ID,GPS.ID,Side,Pair,Pair.unique,Treatment,RL,Block.Xcoord,Block.Ycoord,Dist.to.tree.rel,Dist.to.tree.abs,SM1,SM2,SM3,Mean.SM,canopy.N,canopy.E,canopy.S,canopy.W,meancanopy.NWE,Canopycover.N,Canopycover.E,Canopycover.S,Canopycover.W,Mean.canopycover.all,Mean.canopycover.NWE,Soil.compaction.1,Soil.compaction.2,Soil.compaction.3,Mean.soil.compaction,X,t1.colour,t1.gravel,t1.texture,t1.ammonium,t1.nitrate,t1.phosphorus,t1.potassium,t1.sulfur,t1.organic.c,t1.conductivity,t1.ph.cacl2,t1.ph.h2o,t2.colour,t2.gravel,t2.texture,t2.ammonium,t2.nitrate,t2.phosphorus,t2.potassium,t2.sulfur,t2.organic.c,t2.conductivity,t2.ph.cacl2,t2.ph.h2o,richness.t3,plantdensity.t2,ex.plantdensity.t2,nat.plantdensity.t2,ex.richness.t3,nat.richness.t3,richness.t1,ex.richness.t1,plantdensity.t1,ex.plantdensity.t1,nat.plantdensity.t1,nat.richness.t1,richness.t2,ex.richness.t2,nat.richness.t2,rar5.t2.richness,rar10.t2.richness,rar15.t2.richness,A.calendula,A.calendula.present,A.uliginosum,A.uliginosum.present,B.drummondii,B.drummondii.present,B.iberidifola,B.iberidifola.present,B.tournefortii,B.tournefortii,Bromus.sp,Bromus.sp.present,C.colorata,C.colorata.present,C.eremea,C.eremea.present,C.obionoides,E.botrys,E.longiflora,G.nodulosus,G.tenuissima,H.glabra,H.glabra.present,H.pilifera,L.arvensis,L.arvensis.present,M.crystallinum,M.monstrosus,Millotia.sp,Millotia.sp.present,N.rotundifolia,P.airoides,P.canescens,P.gnaphaloides,P.lessonni,P.lessonni.present,R.laevis,R.laevis.present,R.pygmaea,T.cyanopetala,T.cyanopetala.present,T.isingiana,T.isingiana.present,T.ornata,U.anthemoides,U.anthemoides.present,V.myuros,V.myuros.present,W.acuminata,W.acuminata.present,Euc.litter,Jam.litter,Ammonium.IEMs,Nitrate.IEMs,Nitrate.IEMs.convertedzeros
Kunjin,10,10.S.1.C,K2,K147,E.loxophleba,YG.Control,10,573,South,1,10.South.1,Control,R,1,0,-11.5,11.5,5,5,5,5,23.04,29.28,31.36,8.48,20.26666667,18.5,17,16.5,22,18.5,19.16666667,13,14,13,13.33333333,K2,GR,0,1,2,4,3,85,2.5,2.03,0.023,5.8,6.5,LTBR,0,1.5,2,4,2,81,2.7,1.93,0.032,5.9,6.5,4,17,3,14,3,1,4,3,64,34,30,1,4,1,3,3.1502908856,3.8930995475,4,0,0,0,0,0,0,0,0,0,0,3,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0.1,0,0,0,0.0001
Kunjin,10,10.S.1.L,K1,K118,E.loxophleba,YG.Litter,10,573,South,1,10.South.1,Litter,L,0,0,-11.5,11.5,5,5,5,5,25.12,23.04,17.84,6.4,18.18666667,18,18.5,19.75,22.5,19.6875,19.66666667,17,13,15,15,K1,GR,0,1,4,9,4,75,3.8,2.1,0.04,5.7,6.4,LTGR,0,1.5,2,2,3,108,2.1,1.34,0.025,5.7,6.4,6,15,8,7,3,3,5,3,41,20,21,2,4,2,2,2.8971028971,3.641025641,4,0,0,0,0,0,0,0,0,1,1,7,1,3,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.0001
Kunjin,10,10.S.2.C,K4,K169,E.loxophleba,YG.Control,10,573,South,2,10.South.2,Control,L,0,2,-9.5,9.5,5,5,5,5,41.76,37.6,20.96,6.4,28.58666667,14,15,19,22.5,17.625,17.16666667,13.5,12.5,12,12.66666667,K4,LTGR,0,1.5,3,1,2,67,1.9,1.3,0.018,5.5,6.4,LTBR,0,1.5,1,1,2,48,1.9,0.81,0.015,5.9,6.8,7,35,8,27,5,2,4,2,52,21,31,2,7,2,5,3.0817695113,4.4024939433,5.2595756845,0,0,0,0,0,0,0,0,0,0,7,1,17,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,1,1,0.03,0,0,0,0.0001
Kunjin,10,10.S.2.L,K3,K158,E.loxophleba,YG.Litter,10,573,South,2,10.South.2,Litter,R,1,2,-9.5,9.5,5,5,5,5,42.8,41.76,16.8,4.32,29.62666667,13.75,14,20,23,17.6875,16.91666667,10,13,12,11.66666667,K3,LTGR,5,1.5,2,2,3,151,1.9,1.71,0.019,5.5,6.1,GR,0,1.5,2,1,3,65,3,1.68,0.024,5.9,6.5,8,35,15,20,5,3,4,3,65,40,25,1,8,3,5,3.0689580818,4.3363844927,5.3275634239,0,0,0,0,0,0,0,0,0,0,12,1,2,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,14,1,0,1,1,0,0,1,1,0.08,0,0,0,0.0001
Kunjin,10,10.S.3.C,K6,K191,E.loxophleba,YG.Control,10,573,South,3,10.South.3,Control,R,1,4,-7.5,7.5,4,4,4,4,62.56,59.44,6.4,8.48,43.49333333,9,9.75,22.5,22,15.8125,13.58333333,5,6,8.5,6.5,K6,BRGR,0,1,4,5,6,121,3.9,3.46,0.04,5.9,6.5,LTBR,0,1.5,2,1,2,70,3.2,1.36,0.033,5.5,6.3,7,21,8,13,6,1,6,5,57,25,32,1,7,4,3,3.5992432061,5.2789694825,6.2703818369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,3,1,0,0,0,8.3099352396,8.3099352396
Kunjin,10,10.S.3.L,K5,K180,E.loxophleba,YG.Litter,10,573,South,3,10.South.3,Litter,L,0,4,-7.5,7.5,6,6,5,5.666666667,69.84,44.88,8.48,8.48,41.06666667,7.25,13.25,22,22,16.125,14.16666667,9,12.5,10,10.5,K5,GRBR,0,1.5,4,4,7,148,4,3.88,0.042,6,6.5,BR,0,1.5,3,2,2,67,2.5,1.3,0.027,5.9,6.6,3,10,2,8,2,1,5,3,66,20,46,2,4,1,3,2.7777777778,4,4,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.3,0,0,1.6427943021,1.6427943021
Kunjin,10,10.S.4.C,K8,K213,E.loxophleba,YG.Control,10,573,South,4,10.South.4,Control,R,1,7,-4.5,4.5,6,5,5,5.333333333,80.24,87.52,12.64,25.12,64.29333333,4.75,3,21,18,11.6875,8.583333333,8.5,5,7,6.833333333,K8,GRBR,41917,1.5,3,4,8,94,4,4.25,0.04,6.3,6.8,LTBR,0,1,3,7,5,60,10.2,2.23,0.079,5.7,6.2,8,26,8,18,7,1,4,2,20,9,11,2,5,3,2,2.8827911219,3.6994771012,4.1498327759,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0.9,0,0,7.9965070647,7.9965070647
Kunjin,10,10.S.4.L,K7,K202,E.loxophleba,YG.Litter,10,573,South,4,10.South.4,Litter,L,0,7,-4.5,4.5,6,5,4,5,84.4,62.56,6.4,28.24,58.4,3.75,9,22.5,17.25,13.125,10,7,5,7,6.333333333,K7,BRGR,0,1,2,4,6,87,11.8,3.07,0.069,5.9,6.3,LTBR,0,1,5,4,5,92,7.2,2.29,0.075,5.5,6.2,4,12,6,6,3,1,4,1,13,4,9,3,7,3,4,4.1363636364,6.4545454545,7,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0.7,0,0,8.0550031875,8.0550031875
Kunjin,10,10.S.5.C,K10,K119,E.loxophleba,YG.Control,10,573,South,5,10.South.5,Control,R,1,8,-3.5,3.5,4,4,4,4,93.76,89.6,16.8,50.08,77.81333333,1.5,2.5,20,12,9,5.333333333,5,5,7.5,5.833333333,K10,BRGR,0,1.5,14,7,5,63,13.1,1.98,0.077,6,6.6,BRGR,5,1,4,4,4,63,7.5,1.64,0.053,6.2,6.8,5,31,8,23,3,2,3,1,39,7,32,2,5,1,4,3.0130656638,4.0360579016,4.5578786724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,2,1,0.9,0,0,9.2758658542,9.2758658542
Kunjin,10,10.S.5.L,K9,K224,E.loxophleba,YG.Litter,10,573,South,5,10.South.5,Litter,L,0,8,-3.5,3.5,6,6,6,6,91.68,85.44,20.96,31.36,69.49333333,2,3.5,19,16.5,10.25,7.333333333,5,5,6,5.333333333,K9,BRGR,0,1.5,5,6,10,113,6.6,4.43,0.078,6.4,6.8,LTBR,5,1.5,3,14,6,85,10.9,2.68,0.049,6.1,6.7,4,27,11,16,3,1,5,2,30,17,13,3,5,3,2,2.5584045584,3.3423184494,3.9228539576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0.9,0,0,10.1965942708,10.1965942708
