Date,ID,SP,ind,buds,flowers,fruits,max.height.mm,shape.long,shape.90,phen,group,num.focal,lateral,shape,notes
8.4.2016,H054D100,PEAI,5,0,0,0,30,20,3,2,PE.P,2,11.5,0.3833333333,.
8.4.2016,H054D100,PEAI,6,0,0,0,28,18,2,2,PE.P,2,10,0.3571428571,.
8.4.2016,H054D100,PEAI,7,0,0,0,14,8,2,2,PE.P,2,5,0.3571428571,.
8.4.2016,H054D100,PEAI,8,0,0,0,25,25,4,2,PE.P,2,14.5,0.58,.
8.4.2016,H054D100,PEAI,9,0,0,0,50,32,8,2,PE.P,2,20,0.4,.
8.4.2016,H054D100,PEAI,10,0,0,0,14,10,2,2,PE.P,2,6,0.4285714286,.
8.4.2016,H054D100,POCA,1,1,0,0,112,30,5,4,PE.P,2,17.5,0.15625,.
8.4.2016,H054D100,POCA,2,0,0,0,76,37,3,2,PE.P,2,20,0.2631578947,.
8.4.2016,H054D100,POCA,3,0,0,0,82,52,6,2,PE.P,2,29,0.3536585366,.
8.4.2016,H054D100,POCA,4,1,0,0,89,47,16,4,PE.P,2,31.5,0.3539325843,.
8.4.2016,H054D100,POCA,5,1,0,0,134,46,40,4,PE.P,2,43,0.3208955224,.
8.4.2016,H054D100,POCA,6,1,0,0,139,27,20,4,PE.P,2,23.5,0.1690647482,.
8.4.2016,H054D100,POCA,7,0,0,0,79,64,32,2,PE.P,2,48,0.6075949367,.
8.4.2016,H054D100,POCA,8,1,0,0,137,36,23,4,PE.P,2,29.5,0.2153284672,.
8.4.2016,H054D100,POCA,9,3,0,0,150,52,20,4,PE.P,2,36,0.24,.
8.4.2016,H054D100,POCA,10,1,0,0,75,36,8,4,PE.P,2,22,0.2933333333,.
8.2.2016,H056D100,PEAI,1,0,0,0,22,16,7,2,PE.P,2,11.5,0.5227272727,.
8.2.2016,H056D100,PEAI,2,0,0,0,32,18,11,2,PE.P,2,14.5,0.453125,.
8.2.2016,H056D100,PEAI,3,0,0,0,22,12,3,2,PE.P,2,7.5,0.3409090909,.
8.2.2016,H056D100,PEAI,4,0,0,0,19,8,4,2,PE.P,2,6,0.3157894737,.
8.2.2016,H056D100,PEAI,5,0,0,0,40,26,10,2,PE.P,2,18,0.45,.
8.2.2016,H056D100,PEAI,6,0,0,0,23,16,14,2,PE.P,2,15,0.652173913,.
8.2.2016,H056D100,PEAI,7,0,0,0,37,19,12,2,PE.P,2,15.5,0.4189189189,.
8.2.2016,H056D100,PEAI,8,0,0,0,40,15,6,2,PE.P,2,10.5,0.2625,.
8.2.2016,H056D100,PEAI,9,0,0,0,30,21,4,2,PE.P,2,12.5,0.4166666667,.
8.2.2016,H056D100,PEAI,10,0,0,0,28,19,6,2,PE.P,2,12.5,0.4464285714,.
8.2.2016,H056D100,POCA,1,0,0,0,84,86,46,2,PE.P,2,66,0.7857142857,.
8.2.2016,H056D100,POCA,2,0,0,0,72,31,27,2,PE.P,2,29,0.4027777778,.
8.2.2016,H056D100,POCA,3,1,0,0,158,94,41,4,PE.P,2,67.5,0.4272151899,.
8.2.2016,H056D100,POCA,4,0,0,0,43,26,12,2,PE.P,2,19,0.4418604651,.
8.2.2016,H056D100,POCA,5,0,0,0,61,26,15,2,PE.P,2,20.5,0.3360655738,.
8.2.2016,H056D100,POCA,6,1,0,0,108,47,25,4,PE.P,2,36,0.3333333333,.
8.2.2016,H056D100,POCA,7,2,0,0,152,89,38,4,PE.P,2,63.5,0.4177631579,.
8.2.2016,H056D100,POCA,8,1,0,0,94,47,22,4,PE.P,2,34.5,0.3670212766,.
8.2.2016,H056D100,POCA,9,0,0,0,82,26,15,2,PE.P,2,20.5,0.25,.
8.2.2016,H056D100,POCA,10,0,0,0,51,21,4,2,PE.P,2,12.5,0.2450980392,.
8.2.2016,H059D100,PEAI,1,0,0,0,20,8,3,2,PE.P.V,3,5.5,0.275,.
8.2.2016,H059D100,PEAI,2,0,0,0,14,13,3,2,PE.P.V,3,8,0.5714285714,.
8.2.2016,H059D100,PEAI,3,0,0,0,7,6,1,2,PE.P.V,3,3.5,0.5,.
8.2.2016,H059D100,PEAI,4,0,0,0,22,16,2,2,PE.P.V,3,9,0.4090909091,.
8.2.2016,H059D100,PEAI,5,0,0,0,20,12,2,2,PE.P.V,3,7,0.35,.
8.2.2016,H059D100,PEAI,6,0,0,0,19,16,2,2,PE.P.V,3,9,0.4736842105,.
8.2.2016,H059D100,PEAI,7,0,0,0,4,14,1,2,PE.P.V,3,7.5,1.875,.
8.2.2016,H059D100,PEAI,8,0,0,0,27,14,6,2,PE.P.V,3,10,0.3703703704,.
8.2.2016,H059D100,PEAI,9,0,0,0,26,18,10,2,PE.P.V,3,14,0.5384615385,.
8.2.2016,H059D100,PEAI,10,0,0,0,24,11,6,2,PE.P.V,3,8.5,0.3541666667,.
8.2.2016,H059D100,POCA,1,1,0,0,76,25,12,4,PE.P.V,3,18.5,0.2434210526,.
8.2.2016,H059D100,POCA,2,0,0,0,36,15,6,2,PE.P.V,3,10.5,0.2916666667,.
8.2.2016,H059D100,POCA,3,0,0,0,48,34,20,2,PE.P.V,3,27,0.5625,.
8.2.2016,H059D100,POCA,4,1,0,0,24,18,9,4,PE.P.V,3,13.5,0.5625,.
8.2.2016,H059D100,POCA,5,0,0,0,43,17,12,2,PE.P.V,3,14.5,0.3372093023,.
8.2.2016,H059D100,POCA,6,2,0,0,61,29,16,4,PE.P.V,3,22.5,0.368852459,.
8.2.2016,H059D100,VERO,1,11,0,0,39,48,36,4,PE.P.V,3,42,1.0769230769,.
8.2.2016,H059D100,VERO,2,1,0,0,12,13,9,4,PE.P.V,3,11,0.9166666667,.
8.2.2016,H059D100,VERO,3,10,0,0,48,53,47,4,PE.P.V,3,50,1.0416666667,.
8.2.2016,H059D100,VERO,4,9,0,0,22,33,21,4,PE.P.V,3,27,1.2272727273,.
8.2.2016,H059D100,VERO,5,14,0,0,31,72,26,4,PE.P.V,3,49,1.5806451613,.
8.2.2016,H059D100,VERO,6,7,0,0,38,41,31,4,PE.P.V,3,36,0.9473684211,.
8.2.2016,H059D100,VERO,7,8,0,0,30,40,38,4,PE.P.V,3,39,1.3,.
8.2.2016,H059D100,VERO,8,6,0,0,36,42,33,4,PE.P.V,3,37.5,1.0416666667,.
8.2.2016,H059D100,VERO,9,10,0,0,34,46,29,4,PE.P.V,3,37.5,1.1029411765,.
8.2.2016,H059D100,VERO,10,0,0,0,35,24,15,4,PE.P.V,3,19.5,0.5571428571,.
7.27.2016,H060D100,ARCA,1,1,0,0,56,96,58,4,A.PE.P.V,4,77,1.375,.
